,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
11124,KIC9579328,4663,136,33.52,0.88,3.861,0.026000000000000002,1.3995895385742188,0.05,1.525304009958239,3.668665415454492,5.052445846211638
10173,KIC9016455,5070,80,80.19,0.97,6.7139999999999995,0.042,1.1968984603881836,0.05,1.9041202134762,3.7050079593333365,5.052418353275928
4782,KIC5857618,4779,100,71.82,0.61,6.334,0.017,1.3628158569335938,0.05,1.8562454007900544,3.6793370305207937,5.052062928376139
7376,KIC7440381,4898,148,27.86,0.75,3.642,0.092,1.3496856689453125,0.05,1.4449811120879446,3.6900187807886953,5.051910507150578
14276,KIC11200383,5003,148,120.11,1.02,10.69,0.043,1.2076339721679688,0.05,2.079579166970131,3.6992305028834087,5.05181851104211
2329,KIC4381604,4982,144,47.52,0.87,4.71,0.036000000000000004,1.223224639892578,0.05,1.676876431973137,3.697403723200488,5.051417852754676
14796,KIC11518690,4695,80,30.53,1.0,3.888,0.042,1.2999696731567385,0.05,1.484726804298662,3.6716355966021297,5.050933823764826
5466,KIC6292128,4643,80,32.22,0.66,3.99,0.023,1.3509235382080078,0.05,1.508125536083199,3.666798683666174,5.050918972882947
8491,KIC8051694,4787,80,40.97,1.13,4.462,0.037000000000000005,1.3997325897216797,0.05,1.6124659639531422,3.6800634274819486,5.050629342855914
4177,KIC5524149,5008,145,27.28,0.94,3.833,0.07400000000000001,1.234601974487305,0.05,1.435844365984441,3.699664320202373,5.050578446653539
5978,KIC6607814,5045,147,65.74,0.94,5.852,0.027999999999999997,1.191542625427246,0.05,1.8178296997456056,3.7028611705729295,5.050460317236755
6826,KIC7103951,4906,80,54.7,1.04,5.029,0.083,1.1911001205444336,0.05,1.7379873263334311,3.690727543870367,5.049743819977237
2451,KIC4478812,4803,144,35.76,0.65,3.945,0.023,1.3914432525634766,0.05,1.55339751012388,3.681512586638962,5.0481624100863485
15662,KIC12116393,4911,100,61.88,0.43,6.225,0.017,1.330392837524414,0.05,1.7915503050273303,3.691169934131603,5.047285205720386
8679,KIC8150728,4924,146,38.04,0.33,4.334,0.023,1.3111677169799805,0.05,1.5802405082653763,3.692318044259279,5.046303395254848
12472,KIC10208330,4862,143,40.37,0.62,4.501,0.016,1.3580455780029297,0.05,1.6060587494103142,3.6868149545073168,5.04594852635703
10944,KIC9467115,4822,142,34.7,0.68,4.109,0.025,1.3870668411254885,0.05,1.5403294747908738,3.683227206041435,5.044961117065368
2534,KIC4568362,5001,175,54.41,1.26,4.959,0.205,1.1786260604858398,0.05,1.7356787259059046,3.6990568545476683,5.044513440624471
6159,KIC6706559,4887,80,60.8,1.37,5.609,0.018000000000000002,1.3378944396972656,0.05,1.7839035792727351,3.689042339028172,5.043428355099566
14448,KIC11298714,4796,100,62.65,0.76,5.9,0.012,1.371135711669922,0.05,1.7969210753301688,3.6808791744268112,5.043428249879557
1414,KIC3742673,4798,80,63.73,0.6,6.097,0.012,1.3690347671508791,0.05,1.8043439184798655,3.681060243631812,5.042985155439489
11679,KIC9827743,5028,146,59.77,0.51,5.9270000000000005,0.011000000000000001,1.1955804824829102,0.05,1.7764832558336816,3.70139526901392,5.041706998165607
12317,KIC10134484,5091,144,93.42,1.06,7.645,0.024,1.136934757232666,0.05,1.970439862951764,3.706803097037338,5.041335107809601
15933,KIC12402908,4876,146,27.27,1.06,3.5660000000000003,0.044000000000000004,1.3412742614746094,0.05,1.4356851379416298,3.688063696946344,5.041095420849016
6805,KIC7100888,4729,80,31.98,0.66,4.087,0.035,1.2557706832885742,0.05,1.5048784594102158,3.674769314015426,5.0408395806937145
3381,KIC5107816,4708,100,34.73,1.6,4.194,0.147,1.419050216674805,0.05,1.5407047833107623,3.672836454171397,5.039475485466912
7992,KIC7802146,4908,138,28.46,0.7,4.062,0.063,1.2231240272521973,0.05,1.4542348957482656,3.690904554054967,5.039446028802336
10326,KIC9097394,4952,80,29.29,0.75,4.056,0.048,1.3164176940917969,0.05,1.4667193716815987,3.694780636012061,5.039222104931997
12310,KIC10132358,5049,150,79.24,0.56,7.8039999999999985,0.012,1.2115726470947266,0.05,1.8989444668665092,3.7032053706954864,5.039146386144086
9311,KIC8475844,5014,147,27.36,0.83,3.575,0.069,1.2278480529785156,0.05,1.4371160930480786,3.7001843296221977,5.038020105423786
1525,KIC3837026,4811,145,32.01,0.46,4.003,0.032,1.3874902725219729,0.05,1.5052856741441325,3.682235356902564,5.037611596972666
14974,KIC11617622,4936,100,32.67,0.54,3.906,0.027999999999999997,1.3051166534423828,0.05,1.5141491344754374,3.693375151025185,5.037482390692586
7082,KIC7265075,4945,100,31.49,0.47,3.987,0.051,1.2968378067016602,0.05,1.498172660636544,3.6941662959331985,5.036698314598971
1847,KIC4041406,5140,80,100.58,1.26,8.225,0.03,1.1337862014770508,0.05,2.002511631284908,3.7109631189952763,5.03602597937096
1779,KIC3967161,4644,80,32.0,2.2,3.572,0.069,1.3513946533203125,0.05,1.505149978319906,3.6668922110665365,5.035427358470881
13026,KIC10515966,4924,80,36.43,0.9,4.2780000000000005,0.05,1.1661720275878906,0.05,1.5614591712419161,3.692318044259279,5.034975361296967
6479,KIC6878041,4959,80,73.49,1.03,6.4170000000000025,0.054000000000000006,1.1925296783447266,0.05,1.8662282473796472,3.6953941082911097,5.034401647591498
10673,KIC9329058,4977,100,41.65,0.72,4.548,0.021,1.1874113082885742,0.05,1.6196150057428065,3.6969676407440226,5.03428290577921
3990,KIC5440406,5183,157,102.22,2.32,9.572000000000001,0.09699999999999999,1.1623592376708984,0.05,2.009535876619218,3.7145812088395314,5.034242280342131
3226,KIC5019587,4806,100,72.13,0.43,6.769,0.024,1.3294754028320312,0.05,1.858115932190066,3.6817837664678814,5.033791275991841
6643,KIC7006979,4870,97,34.73,0.56,4.087,0.065,1.1755971908569336,0.05,1.5407047833107623,3.6875289612146345,5.033005978833903
2611,KIC4641634,4771,80,49.94,0.6,5.347,0.017,1.4060735702514648,0.05,1.6984485380153291,3.6786094165589263,5.0328010602960855
15184,KIC11760138,5150,149,93.39,0.6,8.773,0.021,1.1642885208129885,0.05,1.9703003754021775,3.711807229041191,5.032406561176646
13532,KIC10813264,5126,80,108.14,1.98,8.356,0.053,1.1242589950561523,0.05,2.0339863652396057,3.709778601848225,5.032357953617457
14556,KIC11360886,4984,100,46.06,0.6,4.255,0.019,1.2273569107055664,0.05,1.6633239336282124,3.6975780336511135,5.031413011364096
13403,KIC10735077,4873,100,28.71,0.77,3.699,0.067,1.3480796813964844,0.05,1.458033192496506,3.6877964113812944,5.031364604253084
7662,KIC7610636,4701,80,52.38,0.75,5.228,0.013000000000000001,1.3315973281860352,0.05,1.7191654940892134,3.672190251188253,5.03135784613542
10073,KIC8951614,4867,144,28.49,0.68,3.764,0.036000000000000004,1.3454809188842771,0.05,1.4546924492394768,3.687261346243506,5.031166832431771
12868,KIC10417559,4687,80,29.93,0.34,3.9139999999999997,0.033,1.3626556396484375,0.05,1.4761067168401911,3.67089495352021,5.031104950507878
10053,KIC8941202,5046,100,34.8,0.76,4.13,0.045,1.1915979385375977,0.05,1.5415792439465812,3.702947246181556,5.0310240508732
15191,KIC11764438,4963,145,31.39,0.91,3.9160000000000004,0.037000000000000005,1.2633962631225586,0.05,1.4967913157000423,3.695744275197324,5.030943280551695
15434,KIC11957192,5075,150,89.64,0.7,7.994,0.015,1.2190961837768557,0.05,1.952501847863024,3.7054360465852505,5.030697207613394
14977,KIC11618103,5049,141,106.86,0.78,9.325,0.018000000000000002,1.1375441551208496,0.05,2.028815169846887,3.7032053706954864,5.030312621183493
13559,KIC10844674,4963,146,69.72,0.52,6.894,0.02,1.262568473815918,0.05,1.843357378437956,3.695744275197324,5.029539007026795
5235,KIC6181896,5075,100,70.59,0.82,6.477,0.013999999999999999,1.193012237548828,0.05,1.848743181895684,3.7054360465852505,5.0294516959831865
9745,KIC8694481,4657,80,37.02,0.55,3.8539999999999996,0.011000000000000001,1.4098854064941406,0.05,1.5684364144168854,3.6681062379327316,5.029298790050206
2138,KIC4260882,4949,149,28.24,0.73,3.701,0.113,1.3115568161010742,0.05,1.450864692379766,3.694517453811156,5.028855838287408
7157,KIC7289277,4746,80,28.89,0.75,3.892,0.039,1.2909469604492188,0.05,1.4607475418441969,3.67632773388132,5.028598760714153
14770,KIC11512734,4796,80,28.78,1.1,3.804,0.051,1.244948387145996,0.05,1.4590907896005865,3.6808791744268112,5.0276279251803855
9993,KIC8873797,4908,100,30.24,0.72,3.864,0.037000000000000005,1.352534294128418,0.05,1.4805817868291689,3.690904554054967,5.026493150749099
9617,KIC8623829,5021,80,88.19,2.4,7.2860000000000005,0.08,1.1588630676269531,0.05,1.9454193426030633,3.7007902213743464,5.023396825825527
4679,KIC5785620,4696,132,30.34,0.39,3.593,0.012,1.3868913650512695,0.05,1.4820155764507117,3.671728088239558,5.023247427150327
9589,KIC8617873,5098,147,98.07,1.7,8.164,0.017,1.128215789794922,0.05,1.9915361753000316,3.707399831133249,5.023153152173358
13783,KIC10960400,4779,80,46.52,0.56,4.982,0.016,1.2328433990478516,0.05,1.6676397060564108,3.6793370305207937,5.022394341037868
3458,KIC5167473,4948,100,31.6,0.48,4.1,0.047,1.2902469635009766,0.05,1.499687082618404,3.694429690957083,5.021524795026601
7564,KIC7547646,4945,80,65.67,1.25,5.516,0.036000000000000004,1.3095979690551758,0.05,1.817367016287594,3.6941662959331985,5.021075974267506
4627,KIC5770637,4904,100,42.58,0.44,4.5310000000000015,0.017,1.3324861526489258,0.05,1.6292056571023037,3.6905504615103593,5.021058538265366
15036,KIC11659003,4950,151,61.48,0.52,5.955,0.013999999999999999,1.2908859252929688,0.05,1.7887338588277075,3.6946051989335684,5.020195344758287
9140,KIC8378462,5012,80,90.17,1.22,7.2170000000000005,0.051,1.2570695877075195,0.05,1.9550620696750318,3.700011062322112,5.019894352380937
5926,KIC6590381,4984,80,59.12,2.36,5.309,0.057999999999999996,1.1737966537475586,0.05,1.7717344253867693,3.6975780336511135,5.019794584250857
11064,KIC9533861,4889,80,57.62,1.59,5.041,0.022000000000000002,1.3323678970336914,0.05,1.760573253944394,3.689220037263836,5.018979174082327
2371,KIC4456739,4655,80,37.26,0.71,4.245,0.021,1.4160432815551758,0.05,1.5712428505602238,3.6679196853173615,5.018100946548165
8927,KIC8277832,5038,146,64.36,0.97,6.354,0.026000000000000002,1.1894416809082031,0.05,1.8086160354269918,3.7022581631620937,5.017382815661672
4244,KIC5544763,4935,80,73.09,0.92,6.216,0.045,1.269831657409668,0.05,1.8638579618839732,3.693287157005656,5.017359820930499
1510,KIC3831440,4993,150,134.16,0.7,11.880999999999998,0.02,1.2341623306274414,0.05,2.127623049598029,3.6983615660551097,5.015414274917744
12987,KIC10483504,5144,100,104.89,0.8,8.639,0.012,1.1871070861816406,0.05,2.020734085411516,3.7113009599161657,5.015126644094024
12619,KIC10282002,4694,100,31.12,0.53,3.6830000000000003,0.032,1.4000244140625,0.05,1.4930395883176515,3.6715430852625737,5.014944628436538
13173,KIC10603958,4858,100,28.21,0.96,3.826,0.055,1.2552623748779297,0.05,1.4504030861553665,3.686457510469112,5.013912684860807
1906,KIC4060121,4715,80,56.78,0.45,6.013999999999999,0.013999999999999999,1.3314704895019531,0.05,1.7541953881898384,3.6734816970733473,5.0136505060953835
8748,KIC8172784,5008,80,121.39,1.35,9.724,0.013000000000000001,1.1947689056396484,0.05,2.084182911420473,3.699664320202373,5.013553331548547
5391,KIC6271732,5020,100,32.0,0.85,4.053999999999999,0.024,1.219792366027832,0.05,1.505149978319906,3.7007037171450192,5.013390417019352
8935,KIC8279254,5088,142,119.9,0.96,10.712,0.025,1.162226676940918,0.05,2.0788191830988487,3.7065471026403576,5.012729726513367
13545,KIC10816748,4858,100,33.1,0.39,3.8280000000000003,0.017,1.3486709594726562,0.05,1.5198279937757189,3.686457510469112,5.0126861923023425
8129,KIC7877208,4827,100,66.83,0.43,6.689,0.018000000000000002,1.257587432861328,0.05,1.8249714611236931,3.683677298818692,5.012187730129758
10057,KIC8946818,4876,80,27.73,0.62,3.7230000000000003,0.045,1.2666711807250977,0.05,1.4429498695778618,3.688063696946344,5.012140252148237
5631,KIC6419024,4941,147,49.99,0.56,5.432,0.015,1.2879486083984375,0.05,1.6988831367525905,3.6938148538894167,5.01156135946394
1235,KIC3548732,4690,80,44.48,0.48,4.357,0.012,1.3153724670410156,0.05,1.6481647785740008,3.6711728427150834,5.010413147527101
8164,KIC7885511,4835,80,28.16,0.9,3.71,0.13,1.2494239807128906,0.05,1.4496326504700745,3.684396478419021,5.0097095319223826
2616,KIC4644773,4812,80,28.91,0.74,4.138,0.5820000000000001,1.225224494934082,0.05,1.461048091670658,3.6823256186678073,5.009617724824292
13558,KIC10844267,5048,154,92.49,0.73,8.2,0.017,1.2579164505004885,0.05,1.9660947794461707,3.703119346236078,5.009578323129934
9385,KIC8506295,4788,142,33.89,1.01,3.668,0.03,1.3961467742919922,0.05,1.5300715688373785,3.680154141734373,5.0093372616001846
13646,KIC10880958,4679,100,33.63,0.64,4.1,0.027000000000000003,1.297682762145996,0.05,1.5267268673146357,3.67015304519218,5.008987881465393
11632,KIC9788834,4746,100,30.98,0.56,3.827,0.02,1.3997478485107422,0.05,1.4910814134231871,3.67632773388132,5.008724050435938
9373,KIC8499557,5022,145,87.47,0.75,7.5939999999999985,0.013999999999999999,1.2516412734985352,0.05,1.9418591265253733,3.7008767083769034,5.008470364237908
1844,KIC4040738,4877,147,49.54,0.6,5.291,0.015,1.3479108810424805,0.05,1.6949560022498182,3.6881527555915663,5.008293649701381
2437,KIC4476237,4904,149,29.75,0.94,3.847,0.054000000000000006,1.3541145324707031,0.05,1.4734869700645683,3.6905504615103593,5.00796743332477
7715,KIC7625723,4660,80,46.9,0.41,5.172999999999999,0.013000000000000001,1.4159622192382812,0.05,1.6711728427150832,3.66838591669,5.005617670422293
9974,KIC8867239,5022,148,87.68,0.72,8.332,0.017,1.2530584335327148,0.05,1.942900541140294,3.7008767083769034,5.004336740895357
10285,KIC9085007,4956,147,29.79,0.82,3.938,0.055999999999999994,1.2811851501464844,0.05,1.4740705032150436,3.6951312977040263,5.003184836357696
16077,KIC12783857,4799,141,78.25,0.54,7.4179999999999975,0.013999999999999999,1.3706512451171875,0.05,1.8934843462184858,3.6811507499324216,5.002736223713387
15113,KIC11710193,4862,80,33.11,0.85,4.121,0.032,1.1769571304321291,0.05,1.5199591807520685,3.6868149545073168,5.001586081261222
8819,KIC8211726,4792,100,37.87,1.43,4.22,0.149,1.2099981307983398,0.05,1.5782953051208262,3.680516809381255,5.000520070396635
3115,KIC4939830,4714,100,34.12,1.54,4.169,0.10400000000000001,1.4180316925048828,0.05,1.533009022495485,3.673389578188305,5.000496965311758
8216,KIC7905047,4687,80,45.02,0.46,4.9,0.013000000000000001,1.3216781616210938,0.05,1.6534054906645013,3.67089495352021,5.000398989354906
10782,KIC9388422,4638,80,33.1,0.66,3.947,0.038,1.3591909408569336,0.05,1.5198279937757189,3.666330744301968,5.000188661377608
8352,KIC7974679,5003,142,66.25,1.02,5.895,0.037000000000000005,1.2306022644042969,0.05,1.8211858826088452,3.6992305028834087,4.999813278383277
14067,KIC11098762,4766,166,33.51,2.77,3.998,0.496,1.4028778076171875,0.05,1.5251744278352717,3.6781540380104367,4.999778323082477
11917,KIC9941840,4944,147,48.91,0.74,5.35,0.016,1.289926528930664,0.05,1.6893976628212823,3.69407846208076,4.999602152936063
7241,KIC7354032,5016,148,130.6,0.91,11.414000000000001,0.027999999999999997,1.2293214797973633,0.05,2.115943176939055,3.70035752782266,4.999552266675582
3422,KIC5112950,4756,100,42.58,0.83,4.352,0.023,1.4130640029907229,0.05,1.6292056571023037,3.677241845946654,4.999537807603807
6311,KIC6786398,5085,80,95.79,1.03,7.456,0.03,1.2226724624633791,0.05,1.9813201732591077,3.706290957258764,4.999303769461009
3080,KIC4930018,5027,80,109.86,1.19,8.343,0.048,1.238377571105957,0.05,2.04083959468534,3.7013088852280753,4.9990998148661765
11594,KIC9779963,4707,80,32.79,0.58,3.583,0.012,1.4151992797851562,0.05,1.5157414166693652,3.6727441983065985,4.997274250841555
811,KIC3130295,5034,80,170.7,1.35,13.05,0.013000000000000001,1.1786623001098633,0.05,2.232233521114733,3.7019132112123434,4.997173364417762
2572,KIC4577784,4792,80,34.05,0.55,3.8539999999999996,0.03,1.3954696655273438,0.05,1.532117116248804,3.680516809381255,4.9968584544877315
4933,KIC5960293,4913,100,28.23,0.73,3.931,0.042,1.2382278442382812,0.05,1.4507108781469191,3.691346764134822,4.996495493785309
12117,KIC10025321,5026,100,129.66,1.17,10.437999999999999,0.012,1.2292585372924805,0.05,2.1128060172668848,3.7012224842565566,4.9961705917072186
6385,KIC6851401,5149,100,104.72,1.45,7.9620000000000015,0.07200000000000001,1.125288009643555,0.05,2.0200296335426997,3.7117228918272342,4.996143175621535
9752,KIC8701893,4903,80,44.43,0.87,4.754,0.039,1.332498550415039,0.05,1.647676313240871,3.6904618932461775,4.9960831940440515
6998,KIC7200564,4839,146,41.7,0.4,4.513999999999999,0.011000000000000001,1.3813247680664062,0.05,1.6201360549737576,3.6847556221086233,4.9958134977006114
13839,KIC10978872,5015,175,56.52,5.29,5.966,0.282,1.1773710250854492,0.05,1.752202153176521,3.7002709373564366,4.994962859468858
