Title: The First APOKASC Catalog of Kepler Dwarf and Subgiant Stars
Authors: Aldo Serenelli, Jennifer Johnson, Daniel Huber, Marc Pinsonneault,
	 Warrick H. Ball, Jamie Tayar, Victor Silva Aguirre, Sarbani Basu,
	 Nicholas Troup, Saskia Hekker, Thomas Kallinger, Dennis Stello,
	 Guy R. Davies, Mikkel N. Lund, Savita Mathur, Benoit Mosser,
	 Keivan G. Stassun, William J. Chaplin, Yvonne Elsworth,
	 Rafael A. Garcia, Rasmus Handberg, Jon Holtzman2, Fred Hearty,
	 D. A. Garcia-Hernandez, Patrick Gaulme, and Olga Zamora
Table: Seismic properties of the APOKASC dwarfs sample
============================================================================
Byte-by-byte description
----------------------------------------------------------------------------
   Bytes  Format  Units  Label      Explanation
----------------------------------------------------------------------------
  1- 10    A10    ----   KIC        KIC identification number
 12- 19    F8.3   muHz   numax      Frequency of maximum power
 21- 28    F8.3   muHz   enumax     numax error
 30- 37    F8.3   muHz   Dnu        Large frequency separation
 39- 46    F8.3   muHz   eDnu       Dnu error
 48- 55    F8.3   days   Length     Length of Kepler time series
 57- 64    F8.3   ----   HBR        Height-to-background ratio
----------------------------------------------------------------------------
KIC numax enumax Dnu eDnu Length HBR
   6520835  893.550   45.787   49.844    0.521   29.300    2.184 
   6529109 1140.208   32.581   60.105    0.569   25.900    1.617 
   6530901 1601.798  176.417   78.581    0.784   29.800    1.416 
   6531928  456.958    9.822   31.375    0.412  655.900    2.981 
   6592305  837.449   33.357   46.861    0.699   29.400    2.397 
   6593620 1274.074   85.103   67.665    1.748   28.900    1.220 
   6603624 2382.916   32.100  110.321    0.104 1049.600    1.408 
   6605673 1246.173   90.083   68.074    0.821   30.000    1.380 
   6612225 1113.110   29.449   58.904    2.607   25.900    1.699 
   6671492  746.600   47.870   42.105    0.736   24.900    1.839 
   6688822  827.064   48.554   47.048    0.721   30.000    1.827 
   6689943 1679.601   66.364   80.825    1.745   29.300    1.295 
   6693861  786.144   10.437   47.298    0.180  567.800    1.437 
   6766513  873.803   21.447   50.673    0.455  522.800    1.288 
   6802438  567.653   14.823   34.560    0.183   92.500    2.075 
   6806100  909.346  176.552   45.815    2.052   33.400    1.200 
   6837853 1875.477  140.767   89.310    3.970   26.100    1.136 
   6848299  949.135   28.459   56.460    2.650   31.000    1.525 
   6853020 1017.234   96.986   54.204    1.787   26.900    1.393 
   6863041  791.230   41.065   42.899    0.583   92.400    1.276 
   6933899 1384.703   15.411   72.139    0.066 1046.400    1.713 
   6947945  730.514   15.559   43.660    1.416   25.900    1.872 
   7038145  750.995   43.540   42.455    1.205   29.600    1.573 
   7103006 1168.402   15.095   59.603    0.086  856.200    1.583 
   7106245 2440.879   55.896  111.337    0.174  919.100    1.072 
   7107778  538.946   10.637   31.938    0.434  596.800    1.815 
   7133688 1133.731  152.199   59.224    2.030   25.900    1.227 
   7174470  930.091   82.104   47.136    1.173   33.400    1.491 
   7174707  816.137    9.101   47.315    0.073 1050.500    1.391 
   7206837 1634.950   27.894   79.157    0.110  945.100    1.308 
   7216846  482.558   14.948   28.644    0.334   92.400    1.666 
   7264595  543.251   45.729   36.305    2.571   31.100    2.074 
   7282890  822.435   22.866   45.479    0.539   74.400    2.141 
   7296438 1845.525   22.219   88.743    0.110  431.000    1.310 
   7341231  690.176   32.749   39.276    0.309 1038.800    5.927 
   7376493 1336.273   49.143   75.169    1.127   26.100    1.274 
   7383120 1787.203   91.303   83.410    4.181   29.600    1.191 
   7386523  911.992   66.360   48.747    3.067   29.400    1.187 
   7429287 1346.771   48.299   71.244    1.211   28.900    1.243 
   7448374  774.158   32.432   44.408    0.545   29.900    2.475 
   7529180 1911.944   59.189   86.427    1.294   71.200    1.390 
   7534011 1022.367   33.095   57.210    1.624   31.000    1.320 
   7584900  322.994    3.648   21.795    0.271 1050.200    5.158 
   7591963 1107.080   66.024   59.881    1.700   33.400    1.307 
   7611858 1556.412  282.904   75.251    3.437   25.900    1.195 
   7628676  478.644   14.229   29.245    0.433   26.100    4.142 
   7668623  806.936   29.594   45.663    0.605   87.200    1.793 
   7680114 1709.994   20.423   85.169    0.083  838.600    1.329 
   7700968 2069.664  425.841  101.902    4.991   25.900    1.153 
   7739672 1352.234  209.703   66.015    1.910   29.500    1.148 
   7747078  690.176   32.749   39.276    0.309 1045.700    2.201 
   7771282 1459.159   67.736   72.313    0.198  523.600    1.217 
   7799349  569.664    7.040   33.299    0.322 1049.100    3.103 
   7799430  467.537    8.869   31.117    0.328   28.500    4.438 
   7800289  586.615   14.478   33.597    0.153  669.400    1.986 
   7833440 1117.068  104.759   66.216    1.041   30.000    1.379 
   7870112 1422.539  102.615   69.435    6.297   28.500    1.151 
   7871531 3512.044   62.508  151.190    0.379 1050.200    1.053 
   7880676 1025.485   73.309   53.848    1.633   29.600    1.558 
   7910848 1279.573  336.759   73.054    2.728   29.400    1.148 
   7914731  583.321   54.674   34.570    2.414   28.900    1.957 
   7976303  869.617   23.665   51.314    0.503 1050.500    2.730 
   8012842 2000.352  317.494   95.845    3.970   28.900    1.162 
   8016496 1031.948  100.398   53.513    3.752   33.400    1.302 
   8018599  440.299    6.600   27.984    0.262  962.200    1.787 
   8019508  644.607   42.813   38.983    0.411   31.000    2.496 
   8026226  564.466    6.775   34.343    0.163  331.100    2.691 
   8027956 1189.194   85.476   65.284    2.127   29.400    1.295 
   8045442  482.655   48.653   31.916    0.697   25.900    2.232 
   8106950 1147.026  103.949   62.061    6.098   29.400    1.268 
   8114155 1382.158  151.118   73.675    3.015   31.100    1.273 
   8150065 1875.022   62.654   89.055    0.362  401.800    1.171 
   8174981  993.409   62.896   53.743    1.008   31.000    1.761 
   8176564 1519.762   25.285   77.776    0.126  275.900    1.379 
   8179536 2064.149   32.076   95.196    0.139  498.400    1.372 
   8179643 1029.090   47.932   56.926    3.014   31.000    1.267 
   8179973  342.157    3.953   22.918    0.037  866.700    4.384 
   8216936 1118.588   58.678   56.678    7.220   29.300    1.401 
   8228742 1175.394   15.702   62.051    0.066 1049.300    1.900 
   8241455  713.223   59.164   41.890    0.723   31.000    1.538 
   8249189 1402.424   95.872   67.600    7.890   25.900    1.508 
   8289241 1817.121  122.906   95.976    4.165   29.900    1.209 
   8298626 1896.023  105.052   91.514    1.642   29.400    1.264 
   8321567 1304.981  184.756   70.851    0.757   33.400    1.310 
   8360349  739.636   18.896   40.760    0.274   92.000    1.864 
   8367710 1032.560   27.584   55.607    0.467  147.800    1.478 
   8394589 2385.971   41.713  109.443    0.204 1050.700    1.250 
   8408931  578.341   44.765   33.932    0.417   25.900    2.072 
   8414062 1130.258  194.199   70.479    6.383   26.100    1.164 
   8416311  875.152   40.247   48.885    1.784   27.500    1.935 
   8424992 2525.043   76.710  120.914    0.305  338.500    1.103 
   8493735  620.149   40.786   38.500    1.154   30.000    2.070 
   8493800 1832.581  155.011   83.226    1.453   33.400    1.170 
   8499940 1300.637   60.122   69.493    1.050   33.400    1.221 
   8561221  489.612    5.706   29.766    0.072 1047.100    1.796 
   8574769 1321.783   65.317   71.284    0.565   25.900    1.276 
   8579578  958.390   35.628   50.338    0.549   71.300    1.935 
   8621637 1042.115   32.169   57.437    1.604   26.100    1.322 
   8656342 1015.271  227.206   71.368    1.167   29.400    1.137 
   8677016 1858.634  162.027   91.854    1.774   31.000    1.129 
   8694723 1434.684   20.974   75.088    0.090 1049.700    2.111 
   8696343 2405.417  225.091  110.738    3.673   28.600    1.156 
   8702606  666.500   10.177   39.639    0.063 1048.900    2.794 
   8738809  884.469   23.040   49.456    0.148  345.000    1.912 
   8776961 1206.211   35.087   64.779    0.708   30.000    1.384 
   8802782  771.388   53.468   45.118    3.186   26.100    1.477 
   8817551  737.414  117.320   43.190    1.391   29.400    1.467 
   8868481  678.338   46.967   40.421    1.343   25.900    1.634 
   8915084 1608.535   76.094   78.645    1.078   30.000    1.403 
   8938364 1669.006   20.241   85.678    0.097  958.700    1.368 
   8940939 1538.954   55.252   77.348    3.725   26.100    1.342 
   8950146 2131.654   90.867   94.829    3.034   29.400    1.069 
   8952800  973.873   24.886   53.048    1.346   29.400    1.513 
   8956017 1234.145   97.140   62.170    3.883   31.100    1.546 
   9005973 1538.112  126.210   82.376    1.718   33.400    1.169 
   9025370 3016.535   51.228  132.707    0.429 1048.200    1.091 
   9026479  702.799   17.215   42.444    0.825   29.400    2.338 
   9026685 1128.535   43.885   61.894    0.639   30.000    1.451 
   9049593 1916.848  147.165   85.064    3.078   28.900    1.106 
   9051235  909.289  111.019   51.208    3.800   29.600    1.275 
   9073645  739.969   69.157   43.619    1.881   28.500    1.556 
   9073950  296.454    4.990   20.644    0.030  611.200    2.133 
   9093289 1731.183  273.826   85.796    1.883   30.000    1.155 
   9098294 2327.298   29.431  109.120    0.117 1049.500    1.173 
   9116461 2241.753   74.904  105.301    3.745   26.700    1.448 
   9119139 1124.874  127.720   61.654    3.381   29.400    1.372 
   9138680  708.002   44.549   41.555    0.952   33.400    1.571 
   9139151 2687.230   44.996  117.249    0.160 1010.500    1.231 
   9139163 1683.419   30.613   81.027    0.087 1037.300    1.665 
   9143749 1207.181   60.052   64.977    1.891   31.000    1.356 
   9150095  260.118    8.461   18.319    0.445   24.900    4.177 
   9163769 1877.806  290.520   80.202    2.088   27.800    1.257 
   9201604  399.696   14.703   25.906    0.240   29.500    3.226 
   9202077 1131.446   51.620   57.869    0.912   30.000    1.713 
   9204313 1372.311  319.043   74.334    0.815   24.900    1.405 
   9206432 1872.097   22.226   84.777    0.137  595.800    1.472 
   9225600 1239.993   45.580   64.662    1.638   28.500    1.336 
   9226926 1610.118   42.436   73.274    0.564  165.000    1.633 
   9266926 1325.799   49.279   75.081    1.458   24.900    1.221 
   9287845  824.544   82.638   48.166    2.261   29.400    1.439 
   9289275 1302.698   49.175   66.784    0.272   86.900    1.641 
   9292130  855.519   26.904   48.776    1.385   24.900    1.770 
   9328372 1338.575  143.176   67.368    3.480   31.100    1.325 
   9353712  920.057   13.105   51.461    0.141  565.200    1.403 
   9353859  381.884    9.046   24.541    1.719   28.500    2.159 
   9390670 1386.494  119.117   70.619    3.995   30.800    1.507 
   9394953 1194.358  146.773   64.872    1.027   33.400    1.180 
   9410862 2230.819   47.828  107.552    0.160  919.300    1.117 
   9414381  873.328   24.183   48.976    0.885   25.900    1.914 
   9414417 1128.283   17.300   60.098    0.098  868.700    1.704 
   9446628 1031.176  130.931   56.106    3.718   28.900    1.436 
   9451741 2092.584   98.891   94.243    8.552   29.400    1.140 
   9455860 1487.039  181.810   70.913    2.433   33.400    1.300 
   9457728 1064.320   50.938   59.641    0.713   25.900    1.517 
   9458636 1176.150   52.202   66.930    2.991   25.900    1.264 
   9468847 1084.708   77.392   61.356    2.002   25.900    1.586 
   9512063  843.343   14.610   49.893    0.207   92.500    2.335 
   9542776  658.934   79.484   40.390    4.274   29.900    1.402 
   9574283  446.212    5.824   29.807    0.162 1050.900    2.898 
   9579208 1119.805   46.014   61.954    0.341  172.400    1.369 
   9641837  827.414   30.639   47.184    0.875   25.900    1.960 
   9664694  718.562   23.645   43.473    1.470   25.900    1.577 
   9693187 1518.292   34.937   79.739    0.274   92.600    1.413 
   9696358  911.269   25.237   50.864    0.294  366.700    1.249 
   9697131 1134.131   33.946   60.050    0.389  227.700    1.271 
   9700430 1649.106   94.856   79.489    2.477   28.500    1.170 
   9702369 2007.782   40.271   93.488    0.326  128.700    1.380 
   9702752 1287.321   48.500   67.147    0.521   24.900    1.734 
   9754284 1516.789  201.079   73.944    0.852   25.900    1.241 
   9757640 1197.132  106.977   62.006    1.602   29.400    1.348 
   9778067  907.529   49.429   49.808    2.298   29.400    1.373 
   9787965  905.295   46.857   53.636    3.352   33.400    1.426 
   9788260  480.756   12.282   29.213    1.434   24.900    1.422 
   9791157 1001.791   88.649   54.457    0.844   29.400    1.398 
   9812421  430.122    8.180   27.671    0.227   25.800    5.050 
   9812850 1235.938   16.843   64.911    0.105  970.700    1.471 
   9821513 1206.232   40.963   60.207    3.612   29.700    1.322 
   9880787  891.494   39.551   51.274    0.694   31.000    1.661 
   9893470  428.588   33.010   27.862    1.187   25.900    2.112 
   9903271  357.695    6.993   24.096    0.538   28.900    6.036 
   9908400  650.286   23.283   36.624    0.231   89.500    1.954 
   9955598 3546.786   79.412  153.156    0.140 1050.300    1.048 
   9962623 1491.265  128.363   82.216    1.292   31.000    1.098 
   9965715 2076.618   28.331   97.315    0.164  593.100    1.424 
  10003270  781.080   54.672   42.502    1.959   33.400    1.685 
  10016239 2180.275  127.648  101.494    1.593   91.500    1.205 
  10018963  973.851   13.902   54.987    0.163 1049.800    2.515 
  10019747 1233.405  112.187   66.697    0.699   25.900    1.645 
  10024648 1087.190   52.688   56.656    0.935   28.400    1.613 
  10025841 1542.395  180.752   75.175    6.746   28.400    1.176 
  10070754 2130.810  228.808  100.028    2.262   30.000    1.217 
  10074716 1724.368  251.278   83.884    2.620   26.100    1.142 
  10079226 2570.387   72.245  116.036    0.735  337.600    1.109 
  10081026  714.109   58.856   43.416    2.174   25.900    1.405 
  10088136  364.253   28.270   24.824    2.134   31.100    4.227 
  10118942  773.262   55.424   46.412    1.523   28.600    1.393 
  10129349 1884.292  300.236   81.195    2.430   28.100    1.400 
  10130853  297.046    4.017   20.306    0.116  430.100    5.069 
  10147635  613.804    8.105   37.123    0.364  833.300    1.851 
  10162436 1015.101   15.061   55.834    0.084  685.800    2.312 
  10186764 1303.519  122.930   68.253    3.317   26.100    1.471 
  10214328 1223.514  196.385   60.773    1.742   33.300    1.308 
  10215584 2107.227  459.290  115.158    2.834   31.000    1.086 
  10272858  343.693    3.934   22.755    0.038  961.800    3.412 
  10272923  487.863   11.244   30.858    0.222   28.800    4.456 
  10273246  835.402   28.462   48.546    0.281  389.700    1.713 
  10295224  654.563   46.627   38.668    1.924   33.500    2.524 
  10319352 1066.464  318.376   78.746    1.732   29.400    1.180 
  10322381 1676.181  143.038   86.644    6.572   25.800    1.177 
  10324098  902.104   43.750   49.903    1.475   33.400    1.429 
  10351059 1337.308   85.764   65.373    1.668   29.900    1.576 
  10355856 1319.980   28.612   67.285    0.171  297.400    1.620 
  10385708 1141.018  125.020   64.508    1.255   25.900    1.173 
  10394814  372.931    5.566   25.560    0.248   28.500    7.343 
  10398597 1001.925  106.274   57.387    2.704   26.100    1.255 
  10417911  989.906   49.384   56.138    2.099   24.900    1.368 
  10454113 2337.954   32.932  105.109    0.136 1035.700    1.414 
  10462940 2317.486   67.447  104.459    0.454   92.500    1.209 
  10491771 1685.675  177.110   81.002    2.804   24.000    1.309 
  10518551  879.302   26.307   50.052    0.724   30.000    2.039 
  10593351  502.237    9.465   32.091    0.200  522.600    1.915 
  10610027 1711.616  146.617   85.593    5.419   32.800    1.307 
  10644253 2899.488   92.723  122.914    0.203 1040.000    1.107 
  10655953 2200.019  145.241  105.098    2.326   33.400    1.089 
  10670371  538.027    9.687   31.237    0.509   25.900    2.102 
  10712891  515.308   15.385   30.807    1.765   26.100    1.605 
  10717090 1609.208  231.441   77.260    2.727   30.000    1.224 
  10727922  979.264   85.945   55.389    3.045   28.900    1.558 
  10730618 1278.061   34.169   66.192    0.152  791.800    1.279 
  10731424  664.001   34.024   37.724    2.180   28.100    1.600 
  10732098 1047.011   56.756   62.183    1.924   29.600    1.419 
  10794845 2778.118  730.536  116.349    6.699   31.100    1.127 
  10873176  832.834   50.719   48.342    0.800   92.600    1.612 
  10909629  886.681   24.011   49.467    0.146  360.200    1.323 
  10923629  751.526   18.451   42.207    0.234   87.700    1.931 
  10959362  851.625   55.987   45.437    1.634   26.100    1.725 
  10963065 2177.336   30.132  103.211    0.108  769.500    1.618 
  10971974 2347.024  223.686  106.633    3.312   24.900    1.081 
  10972252  818.958   35.466   44.450    0.933   33.400    1.512 
  10972873 1036.851   25.432   58.402    0.142  890.900    1.607 
  10976896  741.972   31.399   44.737    1.027   30.000    1.723 
  11021413  813.048   21.747   48.164    1.288   30.000    2.504 
  11026764  890.497   12.415   50.545    0.363 1049.700    2.210 
  11027406 1660.241   80.907   88.314    0.954   25.900    1.333 
  11070918  690.176   32.749   39.276    0.309   90.100    1.409 
  11074380  578.815   20.371   34.786    1.302   28.600    1.781 
  11075448 1686.960  212.746   78.101    2.865   30.000    1.262 
  11081729 1940.604   29.065   90.019    0.165  778.800    1.532 
  11082784  853.121   34.724   49.485    1.697   28.900    1.712 
  11083308  902.282   76.105   51.208    2.443   28.900    1.506 
  11127479 1853.148  135.824   90.870    0.695  205.100    1.079 
  11137075 1171.228   14.181   65.089    0.534  524.100    1.504 
