KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
1726211|4995|100|2.404|0.011|-0.72|0.15|1.40|0.15|12.32|0.56|1.29|0.14|11.81|0.53|1.44|0.15|12.47|0.57|2|
1726245|4836|80|2.577|0.012|0.20|0.15|1.52|0.14|10.50|0.37|1.45|0.14|10.26|0.36|1.54|0.14|10.59|0.37|2|
1726291|4815|80|3.084|0.006|-0.31|0.15|1.05|0.05|4.88|0.09|0.95|0.05|4.65|0.08|1.05|0.05|4.87|0.09|1|
1849462|4983|145|3.133|0.008|-0.16|0.30|1.32|0.08|5.17|0.11|1.28|0.08|5.08|0.11|1.34|0.08|5.21|0.11|1|
1849679|4945|147|2.576|0.009|-0.69|0.30|1.20|0.08|9.33|0.23|1.08|0.07|8.87|0.22|1.21|0.08|9.38|0.23|1|
1850285|4762|166|2.643|0.010|0.14|0.30|2.12|0.16|11.50|0.32|1.99|0.15|11.14|0.31|2.16|0.17|11.61|0.32|2|
1864183|4632|100|2.634|0.007|0.20|0.15|1.40|0.08|9.44|0.19|1.27|0.07|9.02|0.18|1.42|0.08|9.50|0.20|1|
1864855|5083|100|3.016|0.008|-0.05|0.15|1.52|0.09|6.34|0.13|1.51|0.09|6.32|0.13|1.55|0.09|6.39|0.13|1|
1864959|4998|147|2.526|0.012|-0.11|0.30|1.51|0.14|11.11|0.37|1.46|0.13|10.91|0.37|1.54|0.14|11.22|0.38|2|
1865102|4857|147|2.825|0.008|-0.10|0.30|1.24|0.08|7.12|0.16|1.16|0.07|6.90|0.15|1.25|0.08|7.15|0.16|1|
1865262|4772|80|2.634|0.007|-0.21|0.15|1.34|0.07|9.24|0.17|1.20|0.06|8.76|0.16|1.34|0.07|9.25|0.17|1|
1865595|4386|80|1.987|0.010|-0.06|0.15|1.35|0.11|19.56|0.60|1.18|0.09|18.26|0.55|1.33|0.10|19.35|0.59|1|
1865744|4187|146|1.831|0.018|0.22|0.30|1.37|0.19|23.55|1.21|1.19|0.16|21.96|1.12|1.34|0.19|23.32|1.20|0|
1865747|4752|80|2.709|0.007|0.03|0.15|1.56|0.08|9.13|0.17|1.43|0.07|8.76|0.16|1.58|0.08|9.19|0.17|1|
1866137|4803|147|2.501|0.012|-0.51|0.30|1.47|0.14|11.27|0.39|1.30|0.12|10.58|0.36|1.45|0.13|11.19|0.39|2|
1867706|4813|80|2.930|0.006|0.18|0.15|1.70|0.08|7.39|0.13|1.60|0.08|7.18|0.13|1.73|0.08|7.47|0.13|1|
1868101|4633|80|2.403|0.013|0.36|0.15|1.23|0.13|11.56|0.46|1.15|0.12|11.14|0.44|1.23|0.13|11.55|0.46|2|
1868303|4798|80|2.521|0.008|-0.29|0.15|1.36|0.08|10.60|0.23|1.22|0.07|10.04|0.21|1.36|0.08|10.60|0.23|1|
1870196|4894|80|3.195|0.006|0.09|0.15|1.31|0.06|4.80|0.09|1.27|0.06|4.72|0.09|1.33|0.06|4.82|0.09|1|
1870433|5008|80|3.251|0.008|0.05|0.15|1.36|0.08|4.57|0.10|1.35|0.08|4.56|0.10|1.38|0.09|4.60|0.10|1|
