KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
11718088|5025|154|2.365|0.013|-0.14|0.30|1.07|0.13|11.24|0.56|1.07|0.13|11.27|0.57|1.07|0.13|11.26|0.57|2|
11718381|4867|80|3.189|0.006|-0.24|0.15|1.07|0.05|4.37|0.08|1.00|0.05|4.22|0.08|1.08|0.05|4.38|0.08|1|
11718486|5088|160|2.915|0.009|-0.08|0.30|1.31|0.08|6.62|0.15|1.32|0.08|6.64|0.15|1.33|0.08|6.66|0.15|1|
11718785|4975|147|2.341|0.015|-0.02|0.30|2.53|0.28|17.79|0.70|2.52|0.28|17.77|0.70|2.59|0.29|18.00|0.71|1|
11720493|5120|100|2.452|0.010|-0.07|0.15|1.36|0.11|11.47|0.37|1.37|0.11|11.54|0.37|1.38|0.11|11.55|0.37|2|
11721291|4875|80|2.499|0.012|-0.10|0.15|1.40|0.13|11.04|0.40|1.32|0.13|10.70|0.38|1.42|0.14|11.13|0.40|2|
11721374|4894|100|2.692|0.007|0.12|0.15|1.53|0.08|9.23|0.18|1.47|0.08|9.05|0.17|1.55|0.08|9.30|0.18|1|
11721438|5307|100|2.962|0.008|0.22|0.15|2.39|0.14|8.45|0.19|2.60|0.16|8.83|0.20|2.45|0.15|8.57|0.19|2|
11721529|5248|175|2.868|0.009|0.11|0.30|1.57|0.10|7.65|0.18|1.64|0.11|7.81|0.18|1.60|0.10|7.71|0.18|1|
11722424|4748|100|2.281|0.011|0.09|0.15|1.97|0.16|16.83|0.48|1.83|0.15|16.22|0.46|2.01|0.16|16.96|0.49|1|
11722613|4813|153|2.706|0.009|0.45|0.30|1.50|0.10|8.99|0.21|1.43|0.09|8.79|0.21|1.51|0.10|9.02|0.21|1|
11723154|5194|159|2.381|0.016|-0.34|0.30|0.90|0.13|10.13|0.59|0.94|0.13|10.35|0.61|0.91|0.13|10.20|0.60|2|
11723588|5280|173|3.230|0.009|0.05|0.30|1.69|0.11|5.23|0.12|1.77|0.12|5.35|0.13|1.73|0.12|5.29|0.13|1|
11723746|5186|159|3.301|0.009|-0.28|0.30|1.40|0.09|4.38|0.10|1.41|0.09|4.39|0.10|1.43|0.09|4.43|0.10|1|
11723893|4690|80|2.833|0.007|0.20|0.15|1.32|0.07|7.28|0.14|1.22|0.07|7.01|0.14|1.33|0.07|7.32|0.14|1|
11724171|4981|153|2.762|0.009|-0.07|0.30|1.36|0.09|8.03|0.19|1.32|0.09|7.93|0.19|1.38|0.09|8.09|0.19|1|
11724179|4641|80|2.692|0.007|0.01|0.15|1.13|0.06|7.92|0.16|1.01|0.06|7.50|0.15|1.13|0.06|7.92|0.16|1|
11725452|5089|157|3.046|0.008|-0.22|0.30|1.10|0.07|5.22|0.11|1.12|0.07|5.24|0.11|1.11|0.07|5.24|0.11|1|
11725564|5032|80|2.950|0.010|0.16|0.15|2.40|0.18|8.60|0.24|2.45|0.18|8.69|0.24|2.48|0.19|8.74|0.24|2|
11751804|5244|151|3.236|0.008|-0.49|0.30|1.13|0.07|4.25|0.10|1.16|0.07|4.30|0.10|1.16|0.07|4.30|0.10|1|
11751835|4663|80|2.343|0.019|0.16|0.15|1.50|0.22|13.65|0.72|1.37|0.20|13.05|0.69|1.51|0.22|13.73|0.73|2|
11752118|4622|100|2.481|0.009|-0.24|0.15|1.26|0.08|10.70|0.25|1.10|0.07|9.99|0.23|1.24|0.08|10.60|0.25|1|
11752358|5121|100|2.737|0.007|-0.92|0.15|1.39|0.07|8.37|0.17|1.32|0.07|8.13|0.16|1.45|0.08|8.53|0.17|1|
11752396|4789|100|2.453|0.009|-0.22|0.15|1.44|0.10|11.81|0.29|1.30|0.09|11.20|0.28|1.45|0.10|11.84|0.29|1|
11752707|4614|100|2.192|0.009|-0.45|0.15|1.27|0.09|14.93|0.40|1.09|0.08|13.87|0.37|1.22|0.09|14.67|0.39|0|
11753010|4318|100|2.048|0.012|0.15|0.15|1.26|0.11|17.57|0.58|1.09|0.10|16.35|0.53|1.23|0.11|17.40|0.57|1|
11753018|4750|100|2.718|0.008|0.22|0.15|1.70|0.11|9.45|0.21|1.59|0.10|9.14|0.20|1.74|0.11|9.55|0.21|1|
11753104|4904|100|2.437|0.011|-0.80|0.15|1.42|0.12|11.93|0.35|1.26|0.10|11.25|0.33|1.42|0.12|11.92|0.35|1|
11753211|4964|100|2.465|0.010|-0.19|0.15|1.51|0.14|11.91|0.49|1.43|0.14|11.60|0.47|1.55|0.15|12.05|0.50|2|
11753439|4722|100|2.633|0.008|-0.10|0.15|1.30|0.08|9.10|0.20|1.17|0.07|8.64|0.18|1.30|0.08|9.10|0.20|1|
11753722|4850|100|2.591|0.007|-0.40|0.15|1.22|0.07|9.25|0.19|1.09|0.06|8.78|0.18|1.22|0.07|9.28|0.19|1|
11753949|4379|80|1.935|0.009|0.19|0.15|1.22|0.16|19.72|1.21|1.06|0.14|18.40|1.09|1.20|0.16|19.57|1.19|0|
11754056|4816|100|2.439|0.010|0.11|0.15|1.10|0.08|10.47|0.31|1.06|0.08|10.30|0.30|1.10|0.09|10.49|0.31|2|
11754082|4742|94|2.632|0.007|-0.10|0.15|1.74|0.10|10.54|0.21|1.57|0.09|10.04|0.20|1.75|0.10|10.58|0.22|1|
11754215|4922|144|2.506|0.009|-0.29|0.30|1.28|0.08|10.45|0.24|1.19|0.08|10.10|0.24|1.29|0.08|10.52|0.25|1|
11754993|5399|164|2.843|0.010|-0.53|0.30|2.30|0.16|9.51|0.25|2.48|0.18|9.88|0.26|2.52|0.18|9.96|0.26|2|
11755089|5108|158|3.194|0.009|0.27|0.30|1.65|0.10|5.38|0.12|1.69|0.11|5.44|0.12|1.68|0.11|5.43|0.12|1|
11756686|4771|80|2.298|0.015|-0.22|0.15|1.02|0.12|11.85|0.56|0.92|0.11|11.28|0.53|1.01|0.12|11.83|0.56|2|
11757076|4742|80|2.487|0.013|0.15|0.15|1.67|0.17|12.20|0.46|1.55|0.16|11.76|0.44|1.70|0.17|12.31|0.46|2|
11757157|5150|154|2.526|0.014|-0.15|0.30|1.53|0.16|11.19|0.41|1.53|0.16|11.20|0.41|1.56|0.16|11.31|0.41|2|
11757163|5117|159|3.157|0.009|0.11|0.30|1.54|0.10|5.42|0.13|1.56|0.10|5.46|0.13|1.56|0.10|5.46|0.13|1|
11757206|4523|80|2.367|0.014|0.42|0.15|1.21|0.12|11.95|0.44|1.08|0.11|11.29|0.42|1.20|0.12|11.87|0.44|2|
11757235|4895|145|2.215|0.014|-0.24|0.30|1.18|0.13|14.04|0.57|1.11|0.12|13.59|0.55|1.19|0.13|14.10|0.58|0|
11757305|4492|80|2.277|0.023|0.36|0.15|1.32|0.22|13.84|0.80|1.18|0.19|13.09|0.75|1.32|0.22|13.82|0.80|2|
11757466|4665|80|2.516|0.007|-0.01|0.15|1.49|0.08|11.15|0.23|1.34|0.07|10.58|0.22|1.49|0.08|11.17|0.23|1|
11757739|5165|155|2.496|0.011|-0.17|0.30|1.39|0.11|11.04|0.33|1.41|0.11|11.10|0.33|1.42|0.12|11.14|0.33|2|
11757910|4625|80|2.347|0.012|-0.25|0.15|1.37|0.12|12.99|0.39|1.20|0.10|12.17|0.37|1.34|0.12|12.88|0.39|1|
11758055|4906|143|2.260|0.018|-0.03|0.30|1.79|0.23|16.44|0.72|1.70|0.22|16.00|0.70|1.84|0.23|16.64|0.73|0|
11758140|5027|144|2.802|0.009|-0.13|0.30|1.70|0.11|8.58|0.20|1.64|0.11|8.43|0.19|1.74|0.11|8.68|0.20|1|
11758479|5245|161|2.376|0.014|-0.54|0.30|0.92|0.17|10.32|0.86|0.96|0.18|10.50|0.89|0.93|0.17|10.37|0.87|2|
11758710|4920|147|2.639|0.010|0.19|0.30|1.82|0.13|10.69|0.28|1.76|0.13|10.51|0.27|1.86|0.14|10.81|0.28|1|
11758901|5027|146|2.987|0.008|-0.10|0.30|1.21|0.07|5.84|0.12|1.20|0.07|5.83|0.12|1.22|0.07|5.86|0.12|1|
11759040|5096|156|3.009|0.008|-0.09|0.30|1.25|0.08|5.80|0.13|1.27|0.08|5.84|0.13|1.27|0.08|5.83|0.13|1|
11759220|4451|80|2.310|0.009|0.13|0.15|1.37|0.09|13.58|0.34|1.21|0.08|12.75|0.31|1.36|0.09|13.51|0.34|1|
11759279|5054|151|2.716|0.009|-0.54|0.30|1.24|0.08|8.07|0.18|1.17|0.07|7.86|0.18|1.27|0.08|8.17|0.19|1|
11759478|4596|80|2.619|0.008|0.25|0.15|1.31|0.08|9.31|0.20|1.19|0.07|8.87|0.19|1.32|0.08|9.34|0.20|1|
11759700|5076|157|2.904|0.009|0.13|0.30|1.83|0.12|7.92|0.19|1.83|0.12|7.92|0.19|1.88|0.13|8.01|0.19|1|
11759860|4878|80|2.515|0.013|-0.06|0.15|1.42|0.13|10.90|0.37|1.34|0.13|10.59|0.36|1.44|0.14|10.99|0.38|2|
11760138|5150|149|2.894|0.008|-0.52|0.30|1.31|0.08|6.77|0.15|1.28|0.08|6.70|0.15|1.34|0.08|6.86|0.15|1|
11760319|5087|148|2.286|0.025|-0.53|0.30|1.27|0.33|13.41|1.48|1.22|0.31|13.14|1.44|1.30|0.34|13.59|1.51|2|
11760596|5547|165|2.518|0.011|-0.57|0.30|0.63|0.07|7.24|0.36|0.68|0.08|7.50|0.38|0.68|0.08|7.52|0.38|2|
11760969|4367|80|1.812|0.013|0.11|0.15|0.98|0.13|20.33|1.20|0.84|0.11|18.80|1.08|0.96|0.13|20.14|1.18|1|
11763919|5073|143|2.490|0.014|-0.28|0.30|1.60|0.18|11.92|0.50|1.54|0.17|11.71|0.49|1.64|0.18|12.08|0.51|2|
11764221|5173|155|2.788|0.008|-0.53|0.30|1.24|0.08|7.45|0.16|1.23|0.08|7.41|0.16|1.27|0.08|7.54|0.17|1|
11764270|4686|80|2.442|0.012|-0.04|0.15|1.26|0.12|11.15|0.41|1.13|0.11|10.59|0.38|1.26|0.12|11.17|0.41|2|
11764438|4963|145|2.412|0.015|-0.04|0.30|1.18|0.13|11.21|0.45|1.17|0.13|11.14|0.45|1.19|0.13|11.24|0.45|2|
11764544|4922|148|2.443|0.011|-0.08|0.30|1.22|0.10|10.99|0.34|1.18|0.10|10.80|0.33|1.23|0.10|11.04|0.34|2|
11766423|4975|150|2.272|0.023|-0.19|0.30|0.90|0.20|11.47|1.11|0.91|0.21|11.57|1.12|0.90|0.20|11.51|1.11|2|
11767058|5110|100|2.666|0.008|-0.08|0.15|1.88|0.12|10.55|0.25|1.86|0.12|10.50|0.25|1.93|0.12|10.69|0.25|2|
11767244|5443|168|3.292|0.009|-0.43|0.30|1.47|0.10|4.53|0.11|1.55|0.11|4.65|0.12|1.51|0.11|4.60|0.12|1|
11768170|5291|165|3.156|0.009|-0.07|0.30|1.57|0.10|5.48|0.12|1.63|0.10|5.59|0.13|1.59|0.10|5.52|0.13|1|
11768570|4972|100|2.473|0.012|-0.05|0.15|1.34|0.12|11.12|0.37|1.30|0.12|10.97|0.37|1.36|0.12|11.19|0.38|2|
11768621|5244|163|2.480|0.013|-0.11|0.30|1.26|0.13|10.72|0.38|1.32|0.13|10.94|0.39|1.28|0.13|10.78|0.38|2|
11768640|5213|157|2.431|0.010|-0.24|0.30|1.11|0.08|10.61|0.30|1.15|0.09|10.80|0.31|1.12|0.08|10.65|0.30|2|
11768642|4100|143|1.657|0.037|0.20|0.30|0.81|0.27|22.10|3.03|0.66|0.21|19.95|2.65|0.80|0.27|21.98|3.01|0|
11768791|5018|147|2.388|0.014|-0.14|0.30|0.92|0.10|10.18|0.42|0.95|0.11|10.32|0.43|0.92|0.10|10.19|0.42|2|
11769014|4967|154|2.458|0.011|0.19|0.30|1.24|0.10|10.89|0.34|1.25|0.10|10.94|0.34|1.25|0.10|10.93|0.34|2|
11769120|5141|154|2.976|0.008|-0.06|0.30|1.28|0.08|6.10|0.13|1.31|0.08|6.17|0.13|1.30|0.08|6.13|0.13|1|
11769182|4642|100|2.537|0.009|0.09|0.15|1.47|0.09|10.82|0.25|1.33|0.08|10.29|0.23|1.48|0.09|10.86|0.25|1|
11769491|5240|155|2.448|0.018|-0.57|0.30|1.16|0.16|10.65|0.51|1.17|0.16|10.72|0.51|1.19|0.16|10.78|0.52|2|
11769563|5117|100|2.850|0.007|-0.30|0.15|1.57|0.09|7.80|0.15|1.53|0.08|7.71|0.15|1.61|0.09|7.91|0.16|1|
11769570|5129|167|2.468|0.014|0.09|0.30|1.37|0.15|11.33|0.47|1.41|0.16|11.47|0.48|1.39|0.16|11.40|0.48|2|
11769823|4580|80|2.209|0.017|0.02|0.15|1.01|0.14|13.11|0.68|0.90|0.12|12.34|0.64|1.01|0.14|13.05|0.68|2|
11769954|5104|156|2.464|0.012|-0.01|0.30|2.12|0.22|14.15|0.57|2.14|0.22|14.20|0.57|2.20|0.22|14.39|0.58|2|
11770112|5019|155|3.232|0.008|0.34|0.30|1.30|0.08|4.57|0.10|1.33|0.08|4.62|0.10|1.30|0.08|4.57|0.10|1|
11770175|4634|162|2.541|0.014|-0.28|0.30|1.90|0.20|12.26|0.45|1.71|0.18|11.61|0.43|1.88|0.19|12.16|0.45|2|
11770275|4907|151|2.662|0.009|0.03|0.30|1.47|0.09|9.36|0.21|1.40|0.09|9.16|0.21|1.49|0.10|9.42|0.21|1|
11770285|5086|154|2.872|0.009|-0.12|0.30|1.35|0.08|7.04|0.16|1.34|0.08|7.04|0.16|1.37|0.09|7.10|0.16|1|
11770546|5185|152|2.876|0.013|-0.02|0.30|2.49|0.24|9.53|0.33|2.62|0.26|9.78|0.34|2.60|0.26|9.74|0.34|2|
11770624|5121|159|2.525|0.010|-0.52|0.30|1.29|0.09|10.26|0.25|1.25|0.09|10.11|0.25|1.32|0.09|10.40|0.26|1|
11770650|5080|80|2.968|0.007|-0.42|0.15|1.25|0.06|6.08|0.11|1.21|0.06|5.98|0.11|1.28|0.07|6.15|0.12|1|
11770708|5135|158|2.476|0.010|-0.36|0.30|1.76|0.13|12.70|0.32|1.71|0.12|12.52|0.32|1.81|0.13|12.89|0.33|1|
11771561|4888|80|3.177|0.006|-0.08|0.15|1.25|0.06|4.78|0.09|1.19|0.06|4.66|0.09|1.27|0.06|4.81|0.09|1|
11771576|5010|175|2.564|0.011|0.25|0.30|2.10|0.18|12.54|0.41|2.11|0.18|12.56|0.41|2.14|0.18|12.67|0.41|2|
11771763|4746|166|2.327|0.025|-0.24|0.30|1.11|0.39|11.96|1.95|0.99|0.34|11.30|1.80|1.10|0.39|11.92|1.95|2|
11771978|5205|210|2.540|0.011|-1.87|0.30|1.60|0.13|11.24|0.31|1.55|0.12|11.06|0.30|1.66|0.13|11.46|0.32|1|
11772748|5128|163|2.349|0.012|-0.39|0.30|0.77|0.09|9.72|0.51|0.81|0.10|9.95|0.53|0.78|0.09|9.79|0.52|2|
11772905|4872|80|2.792|0.007|-0.17|0.15|1.57|0.08|8.34|0.16|1.45|0.08|8.03|0.16|1.60|0.09|8.41|0.17|1|
11773209|4959|156|2.422|0.012|0.04|0.30|1.10|0.10|10.71|0.37|1.11|0.10|10.75|0.37|1.11|0.10|10.74|0.37|2|
11773616|4545|100|2.337|0.010|0.36|0.15|1.52|0.11|13.83|0.36|1.37|0.10|13.16|0.34|1.52|0.11|13.87|0.36|1|
11773657|4811|80|2.426|0.011|-0.04|0.15|1.07|0.09|10.49|0.32|1.01|0.09|10.22|0.31|1.08|0.09|10.52|0.32|2|
11773767|5066|154|2.913|0.008|-0.01|0.30|1.34|0.08|6.71|0.15|1.35|0.08|6.73|0.15|1.36|0.08|6.75|0.15|1|
11773952|4949|155|2.472|0.010|-0.40|0.30|1.22|0.09|10.62|0.30|1.14|0.09|10.25|0.29|1.24|0.10|10.72|0.30|1|
11774110|4756|100|2.450|0.009|0.18|0.15|1.35|0.10|11.47|0.34|1.27|0.10|11.12|0.33|1.37|0.11|11.53|0.35|2|
11774570|4629|80|2.632|0.007|0.18|0.15|1.30|0.07|9.13|0.18|1.18|0.06|8.70|0.17|1.31|0.07|9.16|0.18|1|
11774651|4906|150|2.512|0.009|-0.33|0.30|1.25|0.09|10.28|0.25|1.16|0.08|9.89|0.24|1.27|0.09|10.35|0.26|1|
11774923|4832|147|2.405|0.014|0.04|0.30|1.22|0.16|11.46|0.61|1.16|0.15|11.18|0.59|1.23|0.16|11.50|0.61|2|
11775000|4293|150|1.730|0.023|0.00|0.30|1.57|0.26|28.37|1.61|1.39|0.23|26.68|1.51|1.54|0.25|28.10|1.59|0|
11775041|5078|100|2.453|0.015|-0.60|0.15|1.17|0.15|10.62|0.53|1.12|0.14|10.38|0.52|1.20|0.15|10.76|0.54|2|
11775261|4830|152|2.433|0.011|-0.68|0.30|1.24|0.10|11.22|0.32|1.08|0.09|10.47|0.30|1.22|0.10|11.10|0.32|2|
11775398|4903|100|2.418|0.011|0.04|0.15|1.05|0.09|10.50|0.32|1.05|0.09|10.48|0.32|1.06|0.09|10.52|0.32|2|
11775511|4735|100|2.581|0.007|-0.34|0.15|1.15|0.06|9.10|0.19|1.01|0.06|8.53|0.17|1.13|0.06|9.02|0.18|1|
11775671|5145|165|3.210|0.009|-0.06|0.30|1.78|0.12|5.49|0.13|1.79|0.12|5.50|0.13|1.83|0.12|5.56|0.14|1|
11802037|5099|100|2.397|0.015|-0.50|0.15|1.04|0.14|10.71|0.60|1.03|0.14|10.63|0.59|1.06|0.15|10.82|0.61|2|
11802109|4773|80|2.368|0.013|-0.06|0.15|0.89|0.09|10.24|0.35|0.85|0.08|10.01|0.34|0.90|0.09|10.28|0.35|2|
11802617|4472|80|2.008|0.012|-0.34|0.15|1.09|0.11|17.14|0.63|0.93|0.09|15.82|0.57|1.05|0.10|16.84|0.62|1|
11802908|4907|100|2.933|0.007|0.14|0.15|1.55|0.08|7.04|0.13|1.50|0.08|6.91|0.13|1.57|0.08|7.10|0.13|1|
11803855|4366|80|1.887|0.014|-0.58|0.15|1.16|0.16|20.31|1.17|0.99|0.13|18.80|1.06|1.11|0.15|19.84|1.14|1|
11803897|4929|146|2.390|0.015|0.01|0.30|1.14|0.23|11.27|1.03|1.13|0.22|11.21|1.02|1.15|0.23|11.31|1.04|2|
11803916|4905|148|2.406|0.022|0.06|0.30|1.23|0.20|11.49|0.68|1.20|0.20|11.35|0.67|1.23|0.20|11.53|0.69|2|
11804677|4634|100|2.193|0.016|-0.02|0.15|1.89|0.23|18.23|0.84|1.71|0.21|17.33|0.79|1.89|0.23|18.25|0.84|1|
11804952|4990|149|2.699|0.010|0.01|0.30|1.45|0.11|8.91|0.23|1.42|0.10|8.81|0.23|1.47|0.11|8.97|0.23|1|
11805217|4897|100|2.701|0.007|-0.21|0.15|1.69|0.09|9.60|0.19|1.57|0.09|9.25|0.18|1.72|0.09|9.71|0.20|1|
11805390|4907|80|2.412|0.012|0.08|0.15|1.82|0.20|13.92|0.64|1.74|0.19|13.60|0.63|1.87|0.21|14.08|0.65|2|
11805460|4734|100|2.480|0.009|0.17|0.15|1.37|0.10|11.16|0.34|1.28|0.10|10.78|0.33|1.39|0.11|11.22|0.35|2|
11805792|4918|100|2.467|0.009|-0.14|0.15|1.38|0.10|11.35|0.31|1.30|0.09|11.04|0.30|1.40|0.10|11.45|0.31|2|
11805876|4985|100|3.028|0.007|0.29|0.15|2.17|0.12|7.46|0.15|2.18|0.12|7.48|0.15|2.20|0.12|7.53|0.15|1|
11807186|4673|80|2.348|0.011|-0.09|0.15|0.80|0.07|9.92|0.36|0.73|0.07|9.49|0.34|0.81|0.07|9.95|0.36|2|
11807330|5145|153|2.409|0.010|-0.27|0.30|1.12|0.09|10.96|0.32|1.14|0.09|11.06|0.32|1.14|0.09|11.02|0.32|2|
11807840|4399|130|2.116|0.014|0.21|0.30|1.59|0.16|18.24|0.65|1.41|0.14|17.19|0.61|1.58|0.16|18.19|0.65|0|
11807844|4673|137|1.865|0.021|0.24|0.30|1.09|0.19|20.19|1.42|1.02|0.18|19.55|1.37|1.09|0.19|20.20|1.42|0|
11807906|5064|156|2.879|0.009|-0.05|0.30|1.75|0.11|7.96|0.19|1.71|0.11|7.88|0.18|1.79|0.12|8.05|0.19|1|
11808139|5268|150|3.132|0.008|-0.37|0.30|1.79|0.11|6.01|0.13|1.81|0.11|6.05|0.13|1.84|0.11|6.11|0.13|1|
11808481|4784|80|2.363|0.010|-0.34|0.15|0.99|0.11|10.84|0.55|0.88|0.10|10.25|0.51|0.98|0.11|10.79|0.54|2|
11808970|5068|152|2.620|0.013|0.31|0.30|1.85|0.18|11.04|0.37|1.88|0.18|11.12|0.37|1.88|0.18|11.13|0.37|2|
11809504|4801|80|2.683|0.007|-0.08|0.15|1.74|0.10|9.95|0.20|1.60|0.09|9.53|0.19|1.77|0.10|10.02|0.21|1|
11810190|4411|80|2.175|0.008|-0.07|0.15|1.14|0.09|14.46|0.48|0.98|0.08|13.41|0.44|1.11|0.09|14.29|0.48|1|
11810798|5044|150|2.850|0.009|-0.12|0.30|1.25|0.08|6.96|0.16|1.25|0.08|6.94|0.16|1.26|0.08|6.99|0.16|1|
11811203|4607|80|2.515|0.008|-0.01|0.15|1.32|0.08|10.54|0.24|1.18|0.07|9.93|0.22|1.32|0.08|10.53|0.24|1|
11811718|5037|151|2.512|0.010|-0.25|0.30|1.40|0.10|10.87|0.28|1.35|0.10|10.68|0.27|1.43|0.10|10.98|0.28|1|
11811826|5096|141|3.101|0.008|-0.42|0.30|1.32|0.08|5.35|0.11|1.28|0.07|5.27|0.11|1.35|0.08|5.42|0.12|1|
11812012|4460|80|1.996|0.009|-0.29|0.15|1.14|0.10|17.76|0.64|0.98|0.08|16.44|0.57|1.10|0.09|17.49|0.62|1|
11817405|4797|100|2.439|0.010|-0.15|0.15|1.67|0.12|12.91|0.34|1.52|0.11|12.31|0.32|1.69|0.12|12.98|0.34|1|
11818148|5109|156|2.372|0.020|-0.48|0.30|0.97|0.14|10.64|0.57|0.97|0.14|10.64|0.57|0.99|0.15|10.72|0.58|2|
11818451|5202|159|2.355|0.014|-0.56|0.30|0.77|0.11|9.65|0.56|0.80|0.11|9.87|0.58|0.80|0.11|9.83|0.58|2|
11818534|5108|157|2.441|0.010|-0.15|0.30|1.52|0.11|12.27|0.33|1.50|0.11|12.21|0.33|1.55|0.12|12.40|0.33|1|
11818943|4861|149|2.441|0.013|0.24|0.30|1.42|0.14|11.86|0.41|1.37|0.13|11.66|0.40|1.43|0.14|11.92|0.41|2|
11819363|5064|100|2.625|0.008|-0.54|0.15|1.51|0.09|9.89|0.21|1.42|0.08|9.62|0.20|1.55|0.09|10.05|0.21|1|
11819657|4875|80|3.195|0.006|0.29|0.15|1.35|0.07|4.86|0.09|1.32|0.07|4.81|0.09|1.36|0.07|4.87|0.09|1|
11819758|5046|151|2.879|0.008|0.14|0.30|1.50|0.09|7.38|0.16|1.51|0.09|7.39|0.16|1.53|0.09|7.43|0.16|1|
11819760|4957|100|2.387|0.011|-0.23|0.15|1.33|0.13|12.22|0.47|1.26|0.12|11.90|0.45|1.35|0.13|12.33|0.48|2|
11819928|4805|80|2.862|0.006|0.03|0.15|1.36|0.07|7.17|0.13|1.28|0.06|6.94|0.12|1.38|0.07|7.22|0.13|1|
11820243|4778|80|2.607|0.007|-0.18|0.15|1.54|0.08|10.22|0.19|1.39|0.07|9.70|0.18|1.55|0.08|10.25|0.19|1|
11820297|5261|160|2.468|0.011|-0.15|0.30|1.27|0.12|10.90|0.41|1.33|0.13|11.12|0.42|1.29|0.12|10.97|0.42|2|
11820444|5299|164|3.000|0.008|-0.62|0.30|1.16|0.07|5.65|0.13|1.19|0.07|5.71|0.13|1.19|0.07|5.72|0.13|1|
11820477|5029|162|2.453|0.012|0.15|0.30|1.35|0.14|11.40|0.48|1.36|0.14|11.46|0.48|1.36|0.14|11.47|0.48|2|
11820688|4961|100|2.506|0.015|0.11|0.15|1.76|0.19|12.28|0.45|1.71|0.18|12.08|0.44|1.80|0.19|12.42|0.46|2|
11820717|5108|159|2.363|0.013|-0.19|0.30|1.28|0.18|12.35|0.77|1.29|0.18|12.37|0.77|1.30|0.18|12.43|0.78|2|
11820810|4994|156|2.446|0.013|0.09|0.30|1.30|0.13|11.29|0.42|1.30|0.13|11.29|0.42|1.31|0.13|11.34|0.42|2|
11821135|5077|149|2.879|0.008|-0.08|0.30|1.60|0.10|7.63|0.16|1.58|0.09|7.57|0.16|1.63|0.10|7.70|0.16|1|
11821439|4854|100|2.594|0.008|0.10|0.15|1.87|0.11|11.42|0.24|1.77|0.10|11.11|0.24|1.91|0.11|11.55|0.25|1|
11821793|5092|157|2.618|0.009|-0.41|0.30|1.23|0.08|9.00|0.20|1.19|0.08|8.89|0.20|1.25|0.08|9.10|0.21|1|
11821966|4370|80|2.304|0.012|0.22|0.15|1.26|0.11|13.09|0.41|1.10|0.10|12.23|0.38|1.24|0.11|13.00|0.41|2|
11822014|4879|157|2.485|0.015|0.24|0.30|1.44|0.17|11.36|0.53|1.40|0.17|11.19|0.52|1.45|0.18|11.42|0.53|2|
11822097|5178|157|2.632|0.011|-0.14|0.30|2.50|0.22|12.66|0.41|2.61|0.23|12.93|0.42|2.64|0.23|12.99|0.42|2|
11822102|5011|153|2.506|0.009|-0.14|0.30|1.56|0.11|11.56|0.28|1.51|0.10|11.35|0.28|1.60|0.11|11.68|0.29|1|
11822342|4558|80|2.669|0.007|0.11|0.15|1.28|0.07|8.67|0.17|1.14|0.06|8.18|0.16|1.28|0.07|8.67|0.17|1|
11822526|5142|160|2.449|0.010|-0.37|0.30|1.28|0.10|11.16|0.32|1.27|0.10|11.12|0.32|1.30|0.10|11.28|0.32|2|
11822804|4256|148|1.594|0.020|-0.20|0.30|1.21|0.22|29.03|2.14|1.04|0.18|26.96|1.94|1.16|0.21|28.51|2.09|0|
11822898|5019|153|2.579|0.011|-0.28|0.30|1.68|0.13|11.02|0.30|1.60|0.12|10.75|0.29|1.72|0.13|11.17|0.30|1|
11823409|4789|143|2.654|0.009|0.17|0.30|1.52|0.10|9.61|0.22|1.43|0.09|9.32|0.21|1.54|0.10|9.68|0.22|1|
11823838|5105|100|2.552|0.010|-0.51|0.15|1.77|0.13|11.67|0.32|1.69|0.13|11.41|0.32|1.83|0.14|11.87|0.33|2|
11824218|5035|155|2.404|0.010|-0.18|0.30|1.13|0.09|11.06|0.32|1.13|0.09|11.04|0.32|1.14|0.09|11.09|0.33|2|
11824328|5025|159|2.500|0.010|0.09|0.30|1.52|0.11|11.47|0.32|1.51|0.11|11.43|0.32|1.54|0.12|11.55|0.32|2|
11824779|4502|157|2.323|0.039|-0.12|0.30|1.08|0.37|11.86|1.64|0.93|0.31|11.02|1.49|1.06|0.36|11.74|1.62|2|
11824814|4569|80|2.649|0.007|0.08|0.15|1.24|0.06|8.74|0.17|1.10|0.06|8.24|0.16|1.24|0.06|8.73|0.17|1|
11824817|5062|153|2.986|0.008|-0.15|0.30|1.30|0.08|6.06|0.13|1.29|0.08|6.04|0.13|1.32|0.08|6.10|0.13|1|
11824855|5192|160|2.972|0.008|-0.33|0.30|1.32|0.08|6.20|0.14|1.33|0.08|6.23|0.14|1.34|0.08|6.27|0.14|1|
11824976|4865|100|2.483|0.012|-0.00|0.15|1.63|0.18|12.12|0.54|1.53|0.17|11.77|0.52|1.65|0.18|12.21|0.54|2|
11825166|4709|80|2.608|0.007|-0.10|0.15|1.40|0.08|9.72|0.20|1.26|0.07|9.22|0.19|1.40|0.08|9.72|0.20|1|
11825497|5125|159|2.961|0.011|-0.17|0.30|1.59|0.13|6.91|0.20|1.57|0.13|6.87|0.20|1.63|0.13|6.99|0.20|1|
