ID,Teff,Teff_err,dnu,dnu_err,numax,numax_err,bp_rp,eps,eps_err,eps_mod
9580991,5172.0,100.0,5.723,0.011,62.32,0.97,1.1957026000000002,1.1099538015162913,0.011827932224467843,1.1099538015162913
9581445,4989.0,100.0,5.783,0.013,60.95,0.77,1.2338285,1.0893137037548348,0.008339176252841233,1.0893137037548348
9582005,4866.0,100.0,3.563,0.03,30.05,1.2,1.2856951,0.9539263640359664,0.014063819273648649,0.9539263640359664
9583430,5149.0,100.0,7.758999999999999,0.022,100.48,1.1,1.2150011,1.1511198792099706,0.008588011818588853,1.1511198792099706
9583720,4884.0,100.0,5.676,0.015,56.49,0.51,1.3080826,1.0799921110978683,0.009916800382652656,1.0799921110978683
9589638,4951.0,100.0,4.409,0.013,40.6,0.4,1.2572088,1.0574860174570222,0.01153064248407119,1.0574860174570222
9591097,4949.0,100.0,4.123,0.033,34.1,0.65,1.2930583999999998,0.7132442780213183,0.0196446880096874,0.7132442780213183
9596106,4716.0,100.0,2.681,0.022,21.29,0.41,1.377512,0.7410170133465244,0.02605282418713805,0.7410170133465244
9596639,4861.0,100.0,3.725,0.019,30.06,0.6,1.3120631999999999,0.6225867299773998,0.03484162115985393,0.6225867299773998
9597214,5023.0,100.0,4.625,0.029,43.08,0.69,1.2236385,1.0249541330948158,0.01212435499515747,1.0249541330948158
9602917,4845.0,100.0,4.02,0.039,31.89,0.72,1.232769,0.6460648963754082,0.029578247322914468,0.6460648963754082
9604524,4836.0,100.0,4.789,0.017,46.28,0.86,1.3283787,0.7250013422325607,0.02632674479593228,0.7250013422325607
9605294,4815.0,100.0,3.847,0.083,30.86,0.64,1.3521185,0.6365506861549552,0.025919333222823446,0.6365506861549552
9635388,4862.0,100.0,4.401,0.021,38.67,0.49,1.2991313999999998,0.9938905706406,0.012425880305563184,0.9938905706406
9635603,5099.0,100.0,4.147,0.037000000000000005,32.74,0.78,1.2099236999999998,1.4972477138597844,0.002703751524785733,1.4972477138597844
9640886,4490.0,100.0,3.98,0.01,35.15,0.45,1.3827343,0.9918252912821932,0.00957634322121111,0.9918252912821932
9641246,4840.0,100.0,4.28,0.05,36.16,0.75,1.2293892,0.9592630390930672,0.013871486646958245,0.9592630390930672
9641484,4895.0,100.0,4.1160000000000005,0.038,36.15,0.65,1.2258406000000002,0.9692496965201016,0.013183083997042587,0.9692496965201016
9641772,4886.0,100.0,4.075,0.073,35.07,0.73,1.2769794,0.9583017911788232,0.01468179072949755,0.9583017911788232
9644558,5099.0,100.0,4.43,0.102,28.34,0.7,1.1530608999999998,0.5970488961252911,0.02633287286124672,0.5970488961252911
9650046,5035.0,100.0,6.035,0.02,69.39,0.92,1.1951379999999998,1.097044450789329,0.01213446707907982,1.097044450789329
9650527,5163.0,100.0,5.319,0.014,55.85,0.84,1.1788902,1.0196219382713712,0.011814314445355491,1.0196219382713712
9652704,5031.0,100.0,14.497,0.024,187.03,0.77,1.2248573,1.2527922852752544,0.005561871704764465,1.2527922852752544
9656523,4762.0,100.0,4.0710000000000015,0.02,33.58,0.65,1.356947,0.6727392858055028,0.022725769899264395,0.6727392858055028
9658002,4677.0,100.0,4.097,0.012,35.97,0.67,1.3794937,0.8007630689394347,0.021204666059384626,0.8007630689394347
9658072,4601.0,100.0,3.48,0.04,28.77,0.69,1.4701796,0.5852924268697048,0.029826093645528164,0.5852924268697048
9658793,4768.0,100.0,4.46,0.014,40.83,0.52,1.2599753999999999,1.0216705050294672,0.009434194829952856,1.0216705050294672
9662343,5093.0,100.0,4.619,0.066,44.42,0.58,1.2406864,0.7589543855614798,0.02054424188678537,0.7589543855614798
9662395,4887.0,100.0,4.463,0.018000000000000002,48.6,0.65,1.3067398000000001,1.0306484756341665,0.0221035179703642,1.0306484756341665
9667930,5206.0,100.0,6.142,0.041,68.63,0.59,1.1787767,1.0344395493373528,0.014328695691589574,1.0344395493373528
9700053,4929.0,80.0,16.756,0.023,220.49,1.05,1.1238774999999999,1.3730000000000002,0.03,1.3730000000000002
9700899,4956.0,100.0,4.021,0.041,33.04,0.77,1.2606802,0.9682288288187104,0.0146586377051705,0.9682288288187104
9704774,4896.0,100.0,4.129,0.033,35.59,1.14,1.2520618000000001,0.6644409360042459,0.01929404872827725,0.6644409360042459
9705636,4794.0,100.0,4.003,0.043,34.16,0.5,1.3441343000000001,0.6519066637252212,0.02942505779870323,0.6519066637252212
9705687,5524.0,100.0,6.732,0.021,74.21,1.02,1.056263,1.0830022192584234,0.011392065948771473,1.0830022192584234
9706194,4721.0,100.0,3.269,0.013,26.49,0.48,1.3675451,0.7285102206087409,0.02262510194959056,0.7285102206087409
9706585,5027.0,100.0,3.958,0.097,28.88,0.71,1.2337532,0.7574208312985152,0.022359341699100102,0.7574208312985152
9711231,4918.0,100.0,5.129,0.013,47.5,0.71,1.2833643,1.0574152183012977,0.007328084179085641,1.0574152183012977
9711269,4756.0,100.0,6.393,0.013,64.96,0.51,1.3283996999999999,1.0968885935266732,0.008431251957633092,1.0968885935266732
9711349,4572.0,100.0,2.16,0.011,15.26,0.45,1.4405193,0.6329675286989674,0.023357341854046254,0.6329675286989674
9711492,5150.0,100.0,5.063,0.021,51.04,0.71,1.213275,1.0305573437186772,0.010088361362107985,1.0305573437186772
9712888,4890.0,100.0,4.044,0.036000000000000004,32.52,1.13,1.3047743,0.6540079037785863,0.023626665913182063,0.6540079037785863
9713617,4935.0,100.0,12.501,0.035,154.47,0.82,1.3217106,1.2256436490174676,0.005563653426883897,1.2256436490174676
9714063,4899.0,100.0,4.593,0.027000000000000003,43.11,0.61,1.2484913,0.9747215696497408,0.012721852120221226,0.9747215696497408
9716522,5015.0,100.0,4.827,0.024,54.22,0.94,1.208849,0.8703023073081898,0.019625882216202286,0.8703023073081898
9716866,4715.0,100.0,3.748,0.014,32.8,0.41,1.4062576,0.9825601036275308,0.010634322278085395,0.9825601036275308
9718024,5129.0,100.0,4.144,0.055,34.8,0.57,1.1687431000000001,0.983641430507726,0.01720318710445198,0.983641430507726
9724324,4979.0,100.0,4.631,0.194,41.57,0.43,1.2993927,0.9618970471103052,0.013252472922358684,0.9618970471103052
9724882,5124.0,100.0,4.2860000000000005,0.035,36.32,0.76,1.2477778999999998,0.9770427911201602,0.01909082849341709,0.9770427911201602
