KICID|kepmag|Length_Quarters|Length_days|numax|numax_err|dnu|dnu_err|amplitude|amplitude_err|fwhm|fwhm_err|maxbg|maxbg_err|
   2569055|   14.21| 17|  1308.6|   30.05|    1.01|   3.719|   0.042|  118.7|    6.0|   14.4|    1.3|   5590.9|    649.3|
   2569360|   14.15| 17|  1308.6|   21.61|    0.37|   2.745|   0.014|  208.6|   12.8|    8.1|    1.3|  11549.8|   1256.2|
   2569618|   14.86| 17|  1308.6|   56.19|    0.82|   5.662|   0.011|   80.8|    5.8|   18.9|    2.1|   1298.7|    348.3|
   2569945|   14.21| 17|  1308.6|   29.46|    1.21|   3.787|   0.063|  113.1|    7.8|   15.7|    4.2|   8534.2|    770.9|
   2570094|   15.03| 17|  1308.6|   68.26|    0.77|   6.505|   0.015|   89.3|    4.5|   23.1|    1.7|    396.2|     79.2|
   2570172|   15.04| 13|   979.8|   73.69|    1.08|   7.024|   0.016|   68.6|    4.2|   24.5|    2.7|    272.5|     48.2|
   2570214|   14.14| 17|  1308.6|   28.69|    1.76|   3.562|   0.063|   97.6|    8.6|   16.1|    7.4|   7891.0|    985.2|
   2570244|   15.44| 17|  1308.6|  106.06|    1.53|   9.238|   0.067|   70.5|    6.4|   32.3|    3.5|    199.9|     79.2|
   2570370|   11.67|  4|   206.3|   47.27|    2.21|   4.847|   0.141|   64.4|    6.8|   18.7|    2.3|   1477.7|    200.9|
   2570384|   14.99| 13|   979.8|   63.98|    1.17|   6.377|   0.018|   60.7|    3.2|   38.7|    3.6|    304.0|     55.4|
   2570518|   14.72| 17|  1308.6|   46.12|    0.75|   4.934|   0.012|   98.5|    5.4|   16.7|    1.3|   1312.6|    335.8|
   2570659|   13.99| 17|  1308.6|   31.82|    0.78|   4.052|   0.034|  103.7|    5.6|   11.2|    1.0|   6005.3|    328.9|
   2570715|   12.70|  7|   467.2|   28.56|    0.41|   3.406|   0.057|  124.3|    6.0|   12.2|    1.2|   5316.1|    608.0|
   2570870|   13.41|  7|   467.2|   77.95|    0.85|   7.631|   0.013|   65.3|    3.0|   26.8|    4.1|    227.0|     56.0|
   2571106|   12.79| 17|  1308.6|   64.44|    1.86|   5.515|   0.046|   38.8|    3.1|   24.7|    4.1|    387.3|    125.0|
   2571323|   13.28| 10|   704.3|   39.98|    0.30|   4.646|   0.014|  122.4|    6.3|   11.6|    0.5|   2192.3|    154.4|
   2571668|   13.91| 17|  1308.6|  186.85|    1.73|  14.555|   0.076|   34.9|    2.9|   47.4|    4.2|     21.3|      7.6|
   2572089|   11.82| 18|  1318.0|   46.16|    2.50|   4.298|   0.020|   47.2|    7.3|   14.4|    2.3|   2021.8|    450.3|
   2572323|   12.95|  7|   467.2|   29.04|    0.63|   3.525|   0.018|  133.7|    5.7|   12.3|    2.2|   3445.8|    395.1|
   2572430|   13.64|  6|   457.8|   30.74|    0.72|   4.144|   0.034|  133.6|    6.6|   13.5|    1.2|   4781.9|    490.9|
   2572522|   13.41| 18|  1318.0|   28.81|    0.45|   3.436|   0.015|  121.1|    6.2|   11.2|    1.6|   4079.2|    477.7|
   2572667|   13.33|  8|   557.5|   35.11|    0.73|   4.180|   0.028|  126.7|    5.9|   14.4|    1.3|   4086.1|    352.3|
   2573092|   11.58| 18|  1318.0|   35.43|    0.96|   4.052|   0.050|  110.8|    4.2|   17.8|    1.6|   3244.4|    180.1|
   2573548|   12.49|  3|   211.3|   11.96|    0.27|   1.708|   0.033|  286.9|   21.4|    4.6|    0.8|  38318.1|   4530.2|
   2574191|   12.20| 15|  1139.0|   31.55|    1.13|   4.047|   0.077|  110.6|    5.4|   13.6|    1.9|   4565.0|    328.2|
   2574543|   13.25|  7|   548.1|   37.23|    0.40|   4.078|   0.023|  108.8|    6.5|   13.0|    0.9|   2346.2|    208.3|
   2575024|   12.78| 16|  1221.3|   32.99|    0.62|   3.919|   0.030|  113.4|    5.2|   13.6|    1.4|   3916.6|    244.9|
   2575044|   12.40| 16|  1221.3|   32.22|    0.47|   4.145|   0.028|  122.2|    6.0|   12.7|    1.0|   4221.7|    286.9|
   2576211|   13.55|  7|   467.3|   33.00|    0.86|   4.071|   0.026|  126.4|    5.6|   15.4|    2.2|   4194.0|    348.6|
   2576417|   12.99| 10|   704.3|   59.18|    0.52|   5.917|   0.013|   88.7|    4.1|   17.2|    1.1|   1225.6|    142.4|
   2576640|   13.98|  8|   630.5|   69.86|    0.79|   6.599|   0.023|   83.7|    5.0|   19.5|    1.7|   1477.5|    247.9|
   2576993|   10.89| 18|  1318.1|   31.38|    0.78|   4.124|   0.053|  119.1|    5.4|   13.8|    1.6|   5197.3|    314.9|
   2577330|   12.71|  7|   467.3|   31.79|    0.80|   3.989|   0.038|  124.2|    4.5|   14.3|    1.8|   5094.0|    382.9|
   2578184|   13.41| 17|  1308.7|  126.87|    0.81|  10.945|   0.016|   63.4|    2.3|   35.1|    1.3|    112.0|     19.9|
   2578198|   11.70| 18|  1318.2|   67.91|    0.80|   6.544|   0.014|   55.1|    2.6|   23.1|    1.5|    570.4|     41.0|
   2578301|   13.94|  5|   371.4|   37.36|    0.67|   4.318|   0.076|  101.0|    5.0|   15.0|    1.5|   2251.9|    374.2|
   2578581|  13.022| 18| 1318.18|  209.16|    1.47|  15.946|   0.032|     --|     --|     --|     --|     --|     --|
   2579142|   11.36|  8|   552.9|    5.41|    0.17|   0.747|   0.067|  565.0|   59.9|    2.2|    0.4| 370877.1|  65996.9|
   2579661|   12.20| 18|  1318.2|  138.35|    0.89|  11.151|   0.019|   38.9|    1.3|   43.4|    2.1|     60.9|     12.1|
   2580691|   13.47|  8|   557.6|   57.06|    0.88|   5.792|   0.011|   78.7|    5.5|   16.6|    1.4|   1738.6|    142.3|
   2580869|   13.34|  7|   467.3|   19.04|    0.74|   2.888|   0.030|  154.5|    9.4|   13.1|    4.9|  15084.0|   1534.9|
   2581394|   13.52|  8|   557.6|   37.57|    2.41|   4.125|   0.111|   94.7|    3.9|   21.5|    3.6|   1037.6|    315.3|
   2581533|   13.44|  7|   467.3|   54.61|    0.41|   5.399|   0.021|   79.4|    3.2|   17.4|    1.1|   1031.7|     91.9|
   2581583|   13.97| 16|  1276.3|   33.18|    1.64|   4.103|   0.061|  136.4|    9.5|   13.7|    2.2|   8355.6|   1066.8|
   2582178|   13.68|  6|   457.9|   60.37|    0.61|   6.137|   0.018|   78.7|    5.2|   18.7|    1.9|   1343.0|    143.9|
   2582764|   12.05|  7|   548.2|   32.51|    0.84|   4.094|   0.023|   93.2|    4.3|   13.5|    1.3|   2640.0|    256.8|
   2583386|   11.76| 15|  1056.8|   72.72|    0.95|   6.339|   0.032|   54.7|    4.2|   28.6|    9.9|    495.7|    175.9|
   2583651|   10.61| 18|  1318.2|   34.22|    0.67|   3.971|   0.037|  127.6|    5.1|   13.5|    1.2|   4275.2|    232.6|
   2583884|   10.41| 18|  1318.2|   56.93|    0.92|   5.537|   0.018|   49.0|    1.9|   22.8|    1.8|    603.6|     31.8|
   2584189|   13.24| 15|  1211.9|   29.85|    0.47|   4.266|   0.104|  151.3|    7.3|   12.6|    1.1|   7966.0|    562.2|
   2584202|   11.82|  6|   370.7|   39.94|    0.82|   4.354|   0.020|   80.8|    4.0|   16.0|    1.4|   1540.7|    289.7|
   2584477|   12.41| 18|  1318.2|  112.16|    0.72|   9.749|   0.016|   60.4|    1.9|   34.1|    1.4|    111.0|     21.4|
   2584478|   12.76| 18|  1318.2|  180.05|    1.08|  13.918|   0.015|   37.4|    1.5|   50.8|    3.3|     37.1|      7.1|
   2584997|   12.15| 18|  1318.2|  188.35|    1.38|  14.448|   0.032|   41.3|    1.6|   50.7|    1.8|     32.2|      5.4|
   2585190|   12.24| 16|  1221.4|   47.63|    1.17|   4.756|   0.050|   55.4|    2.9|   19.2|    1.9|   1063.9|    107.8|
   2585358|   12.94|  8|   557.6|   33.72|    0.46|   3.970|   0.041|  119.4|    4.7|   13.5|    1.3|   3442.9|    393.4|
   2692189|   13.53| 17|  1308.5|   30.23|    0.55|   4.124|   0.089|  104.2|    5.8|   10.3|    4.4|   4600.6|    558.4|
   2692438|   10.59|  4|   206.3|   11.09|    1.03|   1.664|   0.101|  252.1|   44.3|    4.7|    1.0|  52404.2|   9655.5|
   2692629|  13.114| 18| 1317.94|  209.91|    1.22|  16.324|   0.056|     --|     --|     --|     --|     --|     --|
   2693261|   10.08| 18|  1317.9|   34.09|    1.18|   3.926|   0.014|   79.1|    4.0|   15.3|    2.1|   3035.5|    205.9|
   2693967|   12.66| 18|  1317.9|   84.48|    1.06|   7.027|   0.034|   34.6|    1.9|   32.0|    3.1|    166.6|     48.3|
   2695267|    9.51| 18|  1317.9|   29.73|    1.04|   3.988|   0.081|  140.4|    5.7|   13.8|    1.8|   5214.7|    513.2|
   2695336|   13.70|  2|   114.1|   27.70|    0.87|   3.583|   0.125|  152.6|   16.9|   12.5|    3.5|   3738.5|   1436.0|
   2695592|   12.68| 16|  1226.2|   37.23|    0.59|   4.228|   0.091|   77.7|    3.6|   15.1|    1.4|   1304.0|    220.9|
   2695975|   10.77| 18|  1317.9|   10.28|    0.35|   1.550|   0.014|  230.0|   18.1|    4.8|    0.7|  49956.8|   3636.5|
   2696115|   11.85| 10|   704.3|   20.46|    0.48|   2.326|   0.022|  117.1|    5.5|    9.0|    2.3|   5638.2|    566.2|
   2696628|   10.84| 18|  1317.9|   10.35|    0.18|   1.563|   0.013|  342.0|   29.3|    3.8|    0.4|  69189.4|   5171.0|
   2696732|   11.49| 18|  1317.9|   91.08|    0.61|   8.331|   0.015|   57.4|    2.1|   28.6|    1.2|    286.4|     35.9|
   2696739|   12.11| 18|  1317.9|  193.25|    0.75|  15.049|   0.034|   39.4|    1.6|   45.3|    2.1|     31.2|      6.2|
   2696955|    7.99| 18|  1317.9|  106.77|    1.70|   8.649|   0.018|   30.0|    2.6|   38.2|    4.6|     95.6|     51.2|
   2697082|   11.10| 17|  1235.6|   31.32|    0.82|   3.328|   0.045|   77.3|    3.9|   14.2|    1.4|   2772.9|    197.6|
   2697306|  13.855| 17| 1308.50|  226.29|    2.48|  17.312|   0.051|     --|     --|     --|     --|     --|     --|
   2697501|   12.04| 18|  1317.9|   50.64|    1.36|   4.898|   0.059|   58.8|    2.4|   21.8|    1.5|    959.7|     56.9|
   2697907|   13.29|  9|   642.1|   30.09|    0.47|   3.927|   0.105|  135.4|    5.5|   11.8|    1.7|   5322.9|    551.1|
   2706683|   12.23|  7|   467.2|   29.33|    1.62|   3.853|   0.053|  115.7|    6.2|   16.7|    5.5|   4128.4|    722.5|
   2708270|   13.98| 16|  1276.1|   14.35|    0.44|   1.986|   0.019|  314.5|   29.0|    5.8|    0.8|  51989.3|   4106.2|
   2708445|   15.00| 17|  1308.6|   60.62|    0.59|   6.095|   0.015|   98.1|    4.3|   20.7|    1.5|    503.5|    123.6|
   2708803|    9.44| 17|  1235.7|   28.91|    0.89|   3.731|   0.026|   88.0|    4.8|   12.5|    3.6|   3727.2|    274.3|
   2709230|   12.11|  8|   557.5|   49.41|    0.64|   5.061|   0.018|   63.7|    7.1|   12.1|    1.5|   2146.3|    127.8|
   2709587|   13.58| 18|  1318.0|   33.50|    0.84|   4.148|   0.046|   98.8|    5.6|   13.1|    1.0|   3837.6|    315.3|
