ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err
8736552,4929,146,55.09,0.53,5.851,0.017,1.3111572265625,0.05
8737032,4870,100,43.02,0.36,4.438,0.013000000000000001,1.2649173736572266,0.05
8737047,4474,80,23.52,0.37,2.9930000000000003,0.013999999999999999,1.415877342224121,0.05
8737324,5043,148,98.0,0.52,9.214,0.02,1.2187929153442383,0.05
8737667,5007,150,31.93,0.49,3.403,0.012,1.2895097732543945,0.05
8737707,5013,150,55.89,0.87,5.885,0.019,1.2820196151733398,0.05
8738333,4854,100,59.97,0.36,5.915,0.013999999999999999,1.3157234191894531,0.05
8738537,4683,80,64.5,0.45,6.564,0.012,1.2736444473266602,0.05
8738545,5292,154,205.9,1.36,15.030999999999999,0.04,1.129608154296875,0.05
8738569,5115,151,233.99,1.37,17.41,0.022000000000000002,1.2214202880859375,0.05
8738834,4772,100,31.63,0.97,3.875,0.062,1.351008415222168,0.05
8738980,4563,80,29.18,0.62,3.638,0.031,1.3871192932128906,0.05
8739065,4902,149,34.65,0.42,3.8539999999999996,0.08,1.35528564453125,0.05
8739118,4739,100,33.9,0.98,3.92,0.129,1.3434696197509766,0.05
8740250,5135,151,109.48,0.61,9.738,0.019,1.2119531631469727,0.05
8740339,4860,138,26.86,0.5,3.705,0.086,1.2676763534545898,0.05
8740476,4959,100,36.23,0.95,4.164,0.031,1.247340202331543,0.05
8740498,5134,152,115.02,1.65,10.417,0.094,1.2253026962280273,0.05
8741733,4914,100,40.57,0.86,4.337,0.037000000000000005,1.2716026306152344,0.05
8741924,5042,143,37.81,0.85,4.056,0.038,1.1697158813476562,0.05
8742013,4874,100,25.46,0.38,3.174,0.016,1.2321395874023438,0.05
8742229,4915,80,103.55,0.94,8.593,0.022000000000000002,1.2002019882202148,0.05
8742545,5126,100,142.5,0.97,12.292,0.024,1.14678955078125,0.05
8742912,5149,153,105.95,0.64,8.935,0.017,1.1960020065307617,0.05
8743064,5110,148,127.01,0.75,11.154000000000002,0.045,1.214554786682129,0.05
8743131,5053,155,64.13,0.57,6.522,0.025,1.2583742141723633,0.05
8746146,4851,80,34.83,0.72,4.166,0.027999999999999997,1.2565221786499023,0.05
8746148,5153,154,30.02,1.03,4.064,0.168,1.1985111236572266,0.05
8746222,4807,80,27.43,1.11,3.765,0.087,1.2203168869018555,0.05
8746834,4615,80,54.69,0.49,5.85,0.013999999999999999,1.3309297561645508,0.05
8747199,5128,157,59.58,0.46,6.313,0.017,1.2363739013671875,0.05
8747222,4690,80,68.97,0.52,6.865,0.013000000000000001,1.3343677520751953,0.05
8747415,4917,80,139.03,0.68,11.35,0.021,1.136122703552246,0.05
8747442,4784,80,111.1,0.55,9.522,0.016,1.3611526489257812,0.05
8747880,4967,148,32.41,0.29,3.718,0.02,1.3117990493774414,0.05
8748278,4868,80,33.38,0.87,3.9530000000000003,0.05,1.2489423751831055,0.05
8748406,4568,80,24.86,0.26,3.168,0.033,1.3648614883422852,0.05
8748436,4971,80,85.94,1.79,6.986000000000001,0.024,1.1922121047973633,0.05
8748869,4599,80,25.61,0.69,3.1860000000000004,0.015,1.3972063064575195,0.05
8750108,5051,150,229.54,1.57,18.042,0.028999999999999998,1.2463150024414062,0.05
8750187,4737,138,73.38,0.38,6.901,0.013000000000000001,1.4483757019042969,0.05
8750438,4887,147,29.57,1.72,2.991,0.138,1.3119001388549805,0.05
8750704,4933,150,30.06,0.43,3.279,0.013999999999999999,1.3585472106933594,0.05
8751576,4872,147,31.3,0.62,3.813,0.028999999999999998,1.373713493347168,0.05
8751605,5016,156,86.34,0.64,7.813,0.022000000000000002,1.3088722229003906,0.05
8751733,4789,80,41.18,0.65,4.519,0.019,1.3782062530517578,0.05
8752279,4810,146,38.64,0.86,4.319,0.024,1.4161386489868164,0.05
8752721,4785,143,27.73,0.57,3.46,0.019,1.4195032119750977,0.05
8752893,4785,80,67.87,0.52,6.606,0.013999999999999999,1.1975650787353516,0.05
8753234,4848,80,57.17,0.92,5.415,0.025,1.2270002365112305,0.05
8754017,4977,149,31.52,0.45,3.878,0.04,1.3230571746826172,0.05
8754075,4837,139,31.98,0.5,3.4160000000000004,0.012,1.304605484008789,0.05
8754155,4888,80,31.48,0.35,4.1080000000000005,0.055,1.2849092483520508,0.05
8754257,5239,150,205.31,2.04,15.977,0.036000000000000004,1.0952033996582031,0.05
8754274,4748,80,130.85,0.74,10.965,0.013000000000000001,1.3918437957763672,0.05
8754278,4977,155,29.76,1.4,3.742,0.045,1.358036994934082,0.05
8754675,4934,172,60.08,0.52,6.017,0.013999999999999999,1.3342466354370117,0.05
8757215,4946,100,36.15,0.79,4.235,0.028999999999999998,1.2908802032470703,0.05
8758700,4814,100,31.69,0.78,3.971,0.028999999999999998,1.3160638809204102,0.05
8759207,5202,100,81.63,0.79,7.08,0.018000000000000002,1.1590490341186523,0.05
8759746,4842,100,46.29,1.0,4.756,0.017,1.304819107055664,0.05
8759811,4995,100,53.19,0.65,5.188,0.016,1.2411327362060547,0.05
8760246,5085,146,186.12,1.96,14.035,0.015,1.1810302734375,0.05
8760372,5233,170,157.92,1.05,12.463,0.016,1.2422103881835938,0.05
8760620,4972,153,48.66,0.66,5.1579999999999995,0.017,1.3602352142333984,0.05
8760626,4934,154,28.04,0.46,3.7539999999999996,0.067,1.3972587585449219,0.05
8760818,4989,151,29.52,0.77,3.984,0.138,1.285313606262207,0.05
8761312,5208,156,228.47,2.03,17.226,0.033,1.1909465789794922,0.05
8761422,4766,142,10.92,0.31,1.74,0.08,1.4015254974365234,0.05
8761471,4981,100,38.69,0.73,4.3260000000000005,0.023,1.3295269012451172,0.05
8765681,4844,146,38.78,1.32,4.188,0.018000000000000002,1.3899831771850586,0.05
8766222,4631,162,29.94,1.14,3.9160000000000004,0.073,1.422806739807129,0.05
8766273,4648,162,29.74,0.66,4.253,0.14800000000000002,1.2567996978759766,0.05
8766538,4862,145,37.48,0.61,4.122,0.013000000000000001,1.3599252700805664,0.05
8766846,4909,80,161.86,0.95,13.052999999999999,0.022000000000000002,1.3625249862670898,0.05
8766936,4820,155,45.35,1.0,4.681,0.038,1.419987678527832,0.05
8767392,5198,162,99.09,1.66,7.976,0.021,1.2043790817260742,0.05
8767579,5008,156,44.19,0.74,4.707,0.115,1.314152717590332,0.05
8771414,4818,80,40.72,1.38,4.27,0.031,1.4556217193603516,0.05
8780467,4975,80,68.15,2.45,6.1370000000000005,0.121,1.37432861328125,0.05
8782196,4691,80,66.15,0.56,6.681,0.015,1.3548622131347656,0.05
8782636,4807,80,228.21,1.12,17.309,0.02,1.3456783294677734,0.05
8784382,4770,150,55.48,0.83,5.456,0.040999999999999995,1.441554069519043,0.05
8798584,5129,149,57.74,0.55,5.888999999999999,0.013000000000000001,1.2107839584350586,0.05
8800906,5019,151,31.48,0.45,3.8960000000000004,0.048,1.2919254302978516,0.05
8801894,5168,155,28.9,0.69,3.878,0.109,1.1877641677856445,0.05
8802146,5004,175,84.44,0.74,8.149,0.027999999999999997,1.2549772262573242,0.05
8802374,4853,100,31.67,0.39,3.614,0.013999999999999999,1.247269630432129,0.05
8802962,4777,167,31.18,1.12,3.327,0.581,1.2022895812988281,0.05
8803207,4521,80,7.14,0.2,1.4240000000000002,0.055999999999999994,1.3443193435668945,0.05
8803432,4942,100,32.23,0.72,4.048,0.026000000000000002,1.2324790954589844,0.05
8803615,4922,80,33.88,0.85,4.22,0.077,1.1711664199829102,0.05
8804097,4251,148,5.29,0.32,1.025,0.019,1.4568605422973633,0.05
8804145,5168,150,176.2,0.85,14.43,0.028999999999999998,1.1716327667236328,0.05
8804218,5367,167,28.31,0.72,4.112,0.087,1.1516389846801758,0.05
8804226,4765,166,30.0,0.84,4.093,0.138,1.1391792297363281,0.05
8804395,4829,100,24.47,0.6,3.178,0.024,1.2960081100463867,0.05
8804416,5004,145,61.16,0.6,6.4510000000000005,0.015,1.209939956665039,0.05
8804886,4842,100,34.1,0.91,4.144,0.039,1.2872705459594727,0.05
8804938,5169,158,81.08,0.58,7.662999999999999,0.016,1.2082099914550781,0.05
8805236,4665,163,22.43,0.56,2.9419999999999997,0.40700000000000003,1.4878721237182617,0.05
8805353,5242,150,41.77,3.1,4.408,0.034,1.099003791809082,0.05
8805391,4946,148,22.09,0.65,2.945,0.077,1.311661720275879,0.05
8805565,4636,100,32.68,0.59,3.8160000000000003,0.02,1.2651033401489258,0.05
8805632,4541,80,42.03,0.39,4.698,0.012,1.3350944519042969,0.05
8805663,5092,100,49.97,1.51,4.591,0.04,1.1724920272827148,0.05
8805725,5381,172,27.62,0.63,3.99,0.061,1.1301050186157227,0.05
8805951,5145,154,31.55,0.7,3.865,0.121,1.2061529159545898,0.05
8806231,4317,80,13.89,0.25,1.85,0.02,1.5204057693481445,0.05
8806268,5100,150,145.9,0.78,12.079,0.019,1.225001335144043,0.05
8806387,5121,154,102.02,1.02,9.054,0.017,1.238938331604004,0.05
8806877,5607,176,84.33,0.59,8.587,0.03,0.9746189117431641,0.05
8806936,5009,155,53.17,0.62,5.495,0.019,1.3094511032104492,0.05
8807777,5047,150,81.3,0.55,7.61,0.022000000000000002,1.2645673751831055,0.05
8808231,4976,148,39.79,0.39,4.591,0.01,1.2876014709472656,0.05
8812211,5293,162,96.31,0.83,9.311,0.016,1.1304759979248047,0.05
8812352,4896,147,39.81,0.3,4.539,0.013000000000000001,1.3451404571533203,0.05
8812360,5159,153,98.76,0.69,9.262,0.017,1.1996746063232422,0.05
8812397,4695,80,69.01,0.5,6.702000000000001,0.013999999999999999,1.312809944152832,0.05
8812919,4676,80,37.19,0.62,3.861,0.013999999999999999,1.3459501266479492,0.05
8813291,4826,145,28.62,1.61,3.843,0.037000000000000005,1.3883581161499023,0.05
8813509,4790,80,44.65,0.94,4.58,0.017,1.2618513107299805,0.05
8813618,4769,80,130.76,0.61,11.255,0.018000000000000002,1.267695426940918,0.05
8813727,4936,80,43.2,1.6,4.37,0.048,1.279994010925293,0.05
8813792,5059,156,41.31,0.9,4.532,0.028999999999999998,1.295257568359375,0.05
8813946,4940,98,72.32,0.81,6.4,0.053,1.145312786102295,0.05
8814234,4945,149,28.15,0.37,3.2880000000000003,0.02,1.34368896484375,0.05
8814586,4819,80,39.75,0.5,4.433,0.025,1.2907829284667969,0.05
8814765,4402,154,14.9,0.41,2.166,0.016,1.5815649032592773,0.05
8815290,4816,80,45.52,0.62,4.462,0.013999999999999999,1.3259563446044922,0.05
8815404,4731,80,77.31,0.64,7.234,0.015,1.3745698928833008,0.05
8815517,4924,150,86.13,0.51,8.237,0.017,1.3512401580810547,0.05
8815644,5063,158,31.68,0.89,4.034,0.039,1.2936553955078125,0.05
8816007,4892,80,204.68,1.03,15.624,0.024,1.2743682861328125,0.05
8816353,4332,151,6.55,0.18,1.23,0.026000000000000002,1.647745132446289,0.05
8816437,4606,80,21.39,0.42,2.813,0.019,1.4011402130126953,0.05
8816525,5058,80,78.33,1.88,6.43,0.061,1.123000144958496,0.05
8817275,4779,135,60.3,0.57,6.202999999999999,0.017,1.3659038543701172,0.05
8817343,4670,80,90.98,0.67,8.501,0.019,1.270615577697754,0.05
8818252,4753,80,18.02,0.33,2.7039999999999997,0.075,1.3383665084838867,0.05
8818400,5000,154,93.54,0.64,8.693,0.016,1.306412696838379,0.05
8818887,4808,168,136.98,1.01,11.717,0.026000000000000002,1.3000497817993164,0.05
