ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
KIC7831348,1.55953781741377,0.607951824724369,3.67486114073781,1.345947265625,0.988943998691211,-0.249740885527956,-1.8554806535587,1.03182524509837,0.72162575164946,-1.09694294112675,1.56036714292968,4.10328898118577,5.143751988746,0.998288275067272,3.92966201772981,,,,,,,,
KIC7831636,1.88233227740274,0.860709072193927,3.66332393362821,1.4675989151001,1.15592618824659,-0.027331536777843,-1.86853740435441,1.17081060864469,1.01142746875833,-0.920914712287287,1.90306154585159,4.90291168647953,4.93206336546348,1.31203317437012,3.93215376539812,,,,,,,,
KIC7831689,1.55436858753148,0.611879174272892,3.69355108559591,1.43621635437012,0.900811317945699,-0.239294344265936,-1.67284040126117,0.546853414336044,0.853436428995063,-0.987247078777841,1.47125152455022,3.16388802449392,5.33706803206664,0.963861831624883,2.57190581839511,,,,,,,,
KIC7832012,1.55210058253979,0.618958801349204,3.69879625179043,1.34653663635254,0.696524927020022,-0.41523620136858,-1.93169734174246,0.78762360573318,0.717070447637879,-1.03398991583366,1.58771819356754,3.90172239390172,5.10802946322698,1.08617485048698,3.97487139051868,,,,,,,,289.199999999997
KIC7832413,2.3131358358163,1.18254281018888,3.71424591101789,1.29748344421387,1.34759749216295,0.260600443620182,-2.52596590402227,0.855883896808854,1.24281097123447,-0.777727040547287,2.29552250455877,3.7564909205722,4.19374158581531,1.74630166396707,4.43419567568711,,,,,,,,83.0999999999995
KIC7832489,2.18747248037534,1.11058209515336,3.69635638873333,1.35250759124756,1.27280131719737,0.225732486979544,-2.4710238761575,1.48945148372541,1.08277165310846,-0.889373670285601,2.2436605220257,2.43380663385764,4.50392931107044,1.57729326327849,4.05063908903098,,,,,,,,
KIC7832684,1.51962793556812,0.586487561972533,3.6730209071289,1.49244976043701,0.903046802877041,-0.227303494776831,-2.01926204550764,0.513232516678273,0.790241125351355,-1.00313891783269,1.48922944770558,4.10900895020351,5.36301061378144,0.93206488936104,3.58749846335486,,,,,,,,277.899999999998
KIC7833491,1.71330118412299,0.688143796370655,3.70475090429067,1.32935237884521,0.763961084268131,-0.235834559914905,-1.90873052905269,0.618558144694347,0.836927363580863,-0.964224990782197,1.7237599376,3.99185676103572,4.85491915045116,1.1647593394161,3.18142018830938,,,,,,,,
KIC7833657,1.96069017540118,0.9105583403091,3.68609977199592,1.22990798950195,1.15772512385698,0.016356208234276,-2.05884309867771,1.18258456235705,1.08772049509247,-0.902029785779402,1.9662090895479,4.55449930149439,4.6832816316965,1.37071627222405,2.73747910053365,,,,,,,,
KIC7834191,1.94737584139478,0.907942932371016,3.67715052127343,1.50534629821777,1.13661599174336,0.0197082575769469,-1.99091647296586,1.19863907129702,1.01896661595859,-0.961628119681709,1.91582143711731,4.43798581749242,4.83916337590554,1.29466442465689,3.44054413722512,,,,,,,,73.7999999999995
