ID,teff,teff_error,dnu,dnu_error,numax,numax_error,bp_rp,eps,eps_error,eps_mod
6423690,5050,100,4.064,0.055,34.16,0.77,1.1975355,0.977157901660338,0.015339366684696,0.977157901660338
6424157,4921,100,8.838,0.016,100,0.77,1.280158,1.16166898594139,0.006787016200759,1.16166898594139
6425301,4644,100,6.152,0.012,60.17,0.78,1.3509188,1.08248893863277,0.009251640005704,1.08248893863277
6428974,4992,100,4.595,0.017,41.35,1.05,1.2870665,1.00020951869392,0.01849526810894,1.00020951869392
6429457,4707,100,3.16,0.03,24.17,0.43,1.3499775,1.00880075206054,0.014329250940371,1.00880075206054
6430534,4794,100,3.597,0.025,28.53,0.92,1.3949461,0.671200914510216,0.022972219626316,0.671200914510216
6431941,4683,100,2.817,0.016,21.35,0.39,1.3643789,0.962834200984378,0.010957201233842,0.962834200984378
6501676,4746,100,4.795,0.015,43.04,0.5,1.3690834,1.05987141121899,0.011459243604505,1.05987141121899
6508328,4895,100,4.259,0.034,38.77,1.09,1.3541527,0.713066724441108,0.02041647291016,0.713066724441108
6508943,4873,100,4.109,0.039,34.36,0.56,1.3605576,0.685881888417311,0.01933466651976,0.685881888417311
6587245,4622,100,2.754,0.013,24.12,0.46,1.3755531,0.718056835466914,0.029491604073683,0.718056835466914
6590363,4671,100,3.632,0.016,31.64,0.89,1.377388,0.998488886360447,0.015029436690373,0.998488886360447
6593240,4808,80,4.252,0.057,31.6,0.88,1.274148,0.773942558519285,0.018860323099601,0.773942558519285
6593623,4745,100,4.172,0.013,37.9,0.62,1.3495665,1.49033222037458,0.009409992942204,1.49033222037458
6594505,5080,100,4.155,0.036,35.21,0.7,1.2011318,0.718922255345506,0.024675237280876,0.718922255345506
6677653,5161,100,6.082,0.026,72.54,1.09,1.1820936,1.01919632781315,0.012471400831365,1.01919632781315
6678428,4949,100,4.23,0.033,35.57,0.51,1.3043699,0.931031778258201,0.018472887878914,0.931031778258201
6678432,4705,100,5.692,0.011,56.16,0.47,1.3926716,1.10315575284824,0.007427478067242,1.10315575284824
6680386,5123,100,3.871,0.047,28.95,0.66,1.22054,0.659671332541221,0.023566463229439,0.659671332541221
6680734,4690,100,2.405,0.014,17.47,0.45,1.3636713,0.641886799400611,0.02492208284721,0.641886799400611
6681414,4745,100,4.612,0.013,40.42,0.64,1.3154793,1.07310027103756,0.010454113398504,1.07310027103756
6755373,4810,100,5.218,0.014,51.45,0.62,1.2889967,1.10256763879031,0.008837205952823,1.10256763879031
