# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.230036010053464413e+00 2.349777712986504952e+00 1.354774264055581767e+00 3.458385343397047951e-01 -2.220811979462697039e+00 1.179090249491268505e+00 1.369641819157762619e+00 -6.233655327891731712e-01 3.704031789920773310e+00 1.159648117633611974e+00 -1.725362801571662658e+03 -6.783337699413438671e+00
1.229827934247345489e+00 2.344548035607322944e+00 1.358380965980698907e+00 3.266456979265728311e-01 -2.275418651069633480e+00 1.230081484446234663e+00 1.382374216061186711e+00 -6.506709798586659543e-01 3.697846641635912146e+00 1.180564110106856246e+00 -1.725275833144542958e+03 -7.644083650615412395e+00
1.230781975204401579e+00 2.353369515461119832e+00 1.329829112184593098e+00 3.253767841434355712e-01 -2.342319421305354421e+00 1.413080491060901167e+00 1.341884058338839170e+00 -6.762404121511998989e-01 3.698361526759441187e+00 1.287262765570326373e+00 -1.725269339552620750e+03 -9.205033018919369425e+00
1.230614956920987213e+00 2.352541260605864437e+00 1.336518166118134454e+00 3.452785117195044107e-01 -2.153797404828198481e+00 1.360654166112333474e+00 1.348244735486343826e+00 -7.179014914013522874e-01 3.703521596812167527e+00 1.176611614255907989e+00 -1.725257312779551057e+03 -5.807389826020727952e+00
1.230316852419565121e+00 2.348409151050373289e+00 1.344879232416377413e+00 3.375048903633295350e-01 -2.197928471585152810e+00 1.267735082508492317e+00 1.332662626136956963e+00 -6.972843967850315128e-01 3.694559512003994239e+00 1.247220522450156244e+00 -1.725209740835984803e+03 -4.745206327456233275e+00
1.230531951187129103e+00 2.350459666860976515e+00 1.338545930829248887e+00 3.396890203265491293e-01 -2.179822204599132895e+00 1.335173757531812555e+00 1.333817572212427027e+00 -7.248034204105222589e-01 3.695382265088459128e+00 1.178343927023067339e+00 -1.725208152424103673e+03 -4.189777559106942384e+00
1.230525539276026814e+00 2.351326065388835485e+00 1.339087173987338231e+00 3.414483053745916985e-01 -2.175099432587088710e+00 1.399917227078193438e+00 1.338936903482205176e+00 -7.185819994997367788e-01 3.701397528231880507e+00 1.101162702735724253e+00 -1.725207370440220757e+03 -5.642088653221653871e+00
1.230251094324604777e+00 2.351065982750855987e+00 1.345114707101371598e+00 3.441742310865193999e-01 -2.240503439822684406e+00 1.378520783170790853e+00 1.335150659696932918e+00 -7.095116842716431282e-01 3.702308268297640925e+00 1.134327242288043269e+00 -1.725188687786258470e+03 -4.944673170589354072e+00
1.231092773705753984e+00 2.346158710687742843e+00 1.321412550638420447e+00 3.462908849948428402e-01 -2.313622081255263474e+00 1.383149835302122543e+00 1.393806265442401493e+00 -6.822100142935434430e-01 3.697275617761439648e+00 1.175096404036035214e+00 -1.725145136673591878e+03 -9.235922775748276692e+00
1.230425856876173452e+00 2.343180774799182853e+00 1.339404661895188031e+00 3.519012225463156174e-01 -2.205404402087890681e+00 1.256750983136929012e+00 1.334312559343170834e+00 -6.803304388450620577e-01 3.694224936459518993e+00 1.260774091387254270e+00 -1.725133988546119554e+03 -6.353040986698803572e+00
1.230409428412995609e+00 2.340904320216618206e+00 1.342372771577267976e+00 3.471557726241554231e-01 -2.238546880381209636e+00 1.389160402363423641e+00 1.309454668799098220e+00 -7.278124169530995058e-01 3.699171819105316672e+00 1.168815448013744041e+00 -1.725071921168550944e+03 -6.358886149475808658e+00
1.230875406118838944e+00 2.354493426888636609e+00 1.331299953652109513e+00 3.502786196323432466e-01 -2.334912134585082288e+00 1.326501924763703766e+00 1.348552528979052090e+00 -6.732520009044068443e-01 3.695604586548689952e+00 1.168843312975246018e+00 -1.725038027922760648e+03 -6.972895414493602395e+00
1.230723541285816625e+00 2.347693284283890680e+00 1.329470181084059455e+00 3.363542240474506895e-01 -2.231417436863338821e+00 1.295977637201367827e+00 1.338603150293263599e+00 -6.365080110375203049e-01 3.699055710743718972e+00 1.219678080777149454e+00 -1.725000352448473450e+03 -6.266443975429080382e+00
1.229967037054958690e+00 2.350668332123720727e+00 1.354686305512273314e+00 3.393765426241787675e-01 -2.248516538084682104e+00 1.325335251480996623e+00 1.356570268005959923e+00 -7.401798318023163903e-01 3.693884965364460093e+00 1.165988326567079181e+00 -1.724958988250443326e+03 -5.046862017985040083e+00
