# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.229247204631773949e+00 2.345104619947219415e+00 1.326962694972509516e+00 3.230027537477047073e-01 -2.221531179966081293e+00 4.823195707971669743e-01 1.380611843447535403e+00 -7.013582580653824339e-01 3.702401007180861292e+00 1.218036549394863499e+00 -1.954823887127279477e+03 -5.678224195910277494e+00
1.230747924441234709e+00 2.349481418242584940e+00 1.376555733361032319e+00 3.479252336745966567e-01 -2.667295588908332071e+00 2.261857877186680965e-01 1.290348636175779218e+00 -8.844506088461603355e-01 3.705315162835273846e+00 1.220563833274604715e+00 -1.953984663871257453e+03 -4.186581874621318811e+00
1.217425588145339077e+00 2.346819425451719621e+00 1.378016041521735069e+00 2.978921855187617318e-01 -2.414476501382658569e+00 1.118591115150365939e-01 1.297307665101365082e+00 -7.629641508839823949e-01 3.710830479649876779e+00 1.147348813985337390e+00 -1.953849016781060072e+03 -3.808242689540833670e+00
1.211304144467239663e+00 2.347701728693888157e+00 1.335913240818731085e+00 3.079331618048684605e-01 -2.620356211864061979e+00 9.328759925693430599e-01 1.241384716025204726e+00 -7.658912914663755789e-01 3.698473507712180197e+00 1.267570273331272590e+00 -1.953309338146784739e+03 -4.289926794248263064e+00
1.200938856226232643e+00 2.342560193413141256e+00 1.369775873427204083e+00 2.650149616593520663e-01 -2.398063085802418559e+00 2.578372195834445213e-01 1.375923960621543429e+00 -7.534061406183241161e-01 3.706395824202235012e+00 1.165067009163214262e+00 -1.953226286831326433e+03 -3.453843115899277283e+00
1.202447983696481648e+00 2.348622281362088504e+00 1.376196990012457544e+00 2.562603575677889767e-01 -2.621125124449856347e+00 2.708440234448022399e-01 1.348412625373298424e+00 -6.865999253443828554e-01 3.706908461084634343e+00 1.289099163325124531e+00 -1.953130751423756237e+03 -6.850559609533016570e+00
1.223520776746820138e+00 2.351465822878203493e+00 1.341481158972095855e+00 3.042429984096001738e-01 -2.530761894464747641e+00 7.584189259498109736e-01 1.240211869046286663e+00 -7.862470542637109983e-01 3.705504505866735077e+00 1.241734582619560934e+00 -1.952899487796556514e+03 -4.647113303159506437e+00
1.229322898115216223e+00 2.341665372044296589e+00 1.341638184220860230e+00 3.602460281366164918e-01 -2.396019371226128847e+00 2.753371583796868638e-01 1.292358160792208333e+00 -7.453399242829521487e-01 3.698586008751113319e+00 1.223603270616787420e+00 -1.952898463239028843e+03 -3.009020019946197166e+00
1.211309099347094076e+00 2.348105463729331266e+00 1.361638464727321862e+00 2.738564902081693231e-01 -2.733239682037795326e+00 6.258708116203137717e-01 1.342464410276582587e+00 -7.531890709240040005e-01 3.703042043716739062e+00 1.135617384774890715e+00 -1.952841651640593682e+03 -6.117678169670645261e+00
1.227601792626312971e+00 2.346046509168963734e+00 1.349912732708982599e+00 3.625568339980259069e-01 -2.658512136110503299e+00 7.315629480691786535e-01 1.256714603462444124e+00 -8.045092243476053007e-01 3.695390820552296063e+00 1.258529435068774349e+00 -1.952511072512417741e+03 -5.351883841277650156e+00
1.209136643755509333e+00 2.345144828915029844e+00 1.367418531375077295e+00 2.844379797882722882e-01 -2.562919695084617810e+00 5.827318423512451995e-01 1.277167896264860714e+00 -7.521775233412845152e-01 3.705037725890874878e+00 1.253359925142179199e+00 -1.952461162304548452e+03 -2.085733229413411216e+00
1.211600666107865987e+00 2.344659885893127349e+00 1.357044904556354847e+00 2.785084763196787883e-01 -2.598775612602917562e+00 5.375640900684143242e-01 1.270000178326939899e+00 -8.189082788103017041e-01 3.704183441218744655e+00 1.276507616665234934e+00 -1.952354968988247265e+03 -2.926184629267665649e+00
1.208381356003224383e+00 2.354569278948290822e+00 1.387677784917913604e+00 2.883748042400207656e-01 -2.409418962035922984e+00 8.136754949953693972e-01 1.350013577087164629e+00 -7.171958807239789957e-01 3.703062548448166069e+00 1.199443138641927753e+00 -1.951806866388675871e+03 -6.637039762484528538e+00
