ID,error_flag
KIC3347745,-1
KIC3348070,-1
KIC3348124,-1
KIC3348134,-1
KIC3348774,-1
KIC3351749,-1
KIC3352208,-1
KIC3352842,-1
KIC3353773,-1
KIC3354566,-1
KIC3354827,-1
KIC3355015,-1
KIC3355034,-1
KIC3355750,-1
KIC3356643,-1
KIC3356689,-1
KIC3424072,-1
KIC3424105,-1
KIC3424202,-1
KIC3424384,-1
KIC3425044,-1
KIC3425217,-1
KIC3425476,-1
KIC3425675,-1
KIC3426673,-1
KIC3426812,-1
KIC3426898,-1
KIC3427629,-1
KIC3427850,-1
KIC3427908,-1
KIC3428530,-1
KIC3428577,-1
KIC3429018,-1
KIC3429176,-1
KIC3429364,-1
KIC3429738,-1
KIC3429803,-1
KIC3430007,-1
KIC3430048,-1
KIC3430205,-1
KIC3430471,-1
KIC3430674,-1
KIC3431022,-1
KIC3431244,-1
KIC3432568,-1
KIC3432659,-1
KIC3432732,-1
KIC3432774,-1
KIC3432802,-1
KIC3432992,-1
KIC3433065,-1
KIC3437031,-1
KIC3437461,-1
KIC3437742,-1
KIC3438298,-1
KIC3438609,-1
KIC3439096,-1
KIC3439353,-1
KIC3439356,-1
KIC3439466,-1
KIC3440249,-1
KIC3440304,-1
KIC3441157,-1
KIC3441184,-1
KIC3441207,-1
KIC3441368,-1
KIC3441473,-1
KIC3441789,-1
KIC3441948,-1
KIC3442273,-1
KIC3442661,-1
KIC3442818,-1
KIC3443220,-1
KIC3443331,-1
KIC3443483,-1
KIC3443906,-1
KIC3444029,-1
KIC3444102,-1
KIC3444291,-1
KIC3444374,-1
KIC3444911,-1
KIC3444945,-1
KIC3445572,-1
KIC3445799,-1
KIC3445822,-1
KIC3445994,-1
KIC3446517,-1
KIC3446842,-1
KIC3447753,-1
KIC3448282,-1
KIC3448427,-1
KIC3448531,-1
KIC3448729,-1
KIC3449079,-1
KIC3449224,-1
KIC3449373,-1
KIC3449870,-1
KIC3449907,-1
KIC3450129,-1
KIC3452785,-1
KIC3452915,-1
KIC3453419,-1
KIC3454246,-1
KIC3454605,-1
KIC3454626,-1
KIC3454968,-1
KIC3455146,-1
KIC3455336,-1
KIC3455760,-1
KIC3455784,-1
KIC3455843,-1
KIC3455906,-1
KIC3456216,-1
KIC3456313,-1
KIC3456449,-1
KIC3456564,-1
KIC3456587,-1
KIC3456666,-1
KIC3456843,-1
KIC3456864,-1
KIC3457190,-1
KIC3457298,-1
KIC3457392,-1
KIC3457431,-1
KIC3457618,-1
KIC3458097,-1
KIC3458328,-1
KIC3458378,-1
KIC3458643,-1
KIC3458703,-1
KIC3458715,-1
KIC3459109,-1
KIC3459233,-1
KIC3459347,-1
KIC3525303,-1
KIC3525541,-1
KIC3525569,-1
KIC3526061,-1
KIC3526625,-1
KIC3526709,-1
KIC3526964,-1
KIC3526995,-1
KIC3527032,-1
KIC3527156,-1
KIC3527231,-1
KIC3527264,-1
KIC3527341,-1
KIC3527708,-1
KIC3527891,-1
KIC3528158,-1
KIC3528656,-1
KIC3528900,-1
KIC3528993,-1
KIC3529097,-1
KIC3529175,-1
KIC3529276,-1
KIC3529399,-1
KIC3529456,-1
KIC3529480,-1
KIC3529597,-1
KIC3530333,-1
KIC3530520,-1
KIC3530823,-1
KIC3530942,-1
KIC3531436,-1
KIC3531478,-1
KIC3531647,-1
KIC3532085,-1
KIC3532113,-1
KIC3532734,-1
KIC3532849,-1
KIC3532985,-1
KIC3533223,-1
KIC3533409,-1
KIC3533464,-1
KIC3533480,-1
KIC3533842,-1
KIC3534077,-1
KIC3534438,-1
KIC3534577,-1
KIC3534649,-1
KIC3539190,-1
KIC3539261,-1
KIC3539408,-1
KIC3539429,-1
KIC3540650,-1
KIC3541061,-1
KIC3541631,-1
KIC3541897,-1
KIC3541930,-1
KIC3542248,-1
KIC3542426,-1
KIC3542501,-1
KIC3542895,-1
KIC3543114,-1
KIC3543433,-1
KIC3543443,-1
KIC3543446,-1
KIC3543722,-1
KIC3543846,-1
KIC3543887,-1
KIC3544063,-1
KIC3544121,-1
KIC3544201,-1
KIC3544390,-1
KIC3544421,-1
KIC3544534,-1
KIC3544637,-1
KIC3544887,-1
KIC3544987,-1
KIC3545033,-1
KIC3545147,-1
KIC3545520,-1
KIC3546046,-1
KIC3546258,-1
KIC3546343,-1
KIC3546523,-1
KIC3547041,-1
KIC3547198,-1
KIC3547236,-1
KIC3547488,-1
KIC3547798,-1
KIC3547853,-1
KIC3547943,-1
KIC3548075,-1
KIC3548653,-1
KIC3548732,-1
KIC3549969,-1
KIC3549989,-1
KIC3550074,-1
KIC3550605,-1
KIC3550658,-1
KIC3553319,-1
KIC3553435,-1
KIC3553458,-1
KIC3553529,-1
KIC3553768,-1
KIC3554253,-1
KIC3554732,-1
KIC3554912,-1
